,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes_x,total_electors,margin,margin_difference,votes,total_votes_y,votes_share
0,Himachal Pradesh, HP_Hamirpur,ANURAG SINGH THAKUR,MALE,44.0,GENERAL,BJP,668812,13880,682692,1362269,0,,2661281,3850732,69.11104174479034
1,Himachal Pradesh,Kangra,Kishan Kapoor,MALE,67.0,ST,BJP,712133,13085,725218,1427338,0,,2661281,3850732,69.11104174479034
2,Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,MALE,60.0,GENERAL,BJP,638441,8748,647189,1281462,0,,2661281,3850732,69.11104174479034
3,Himachal Pradesh,Shimla,SURESH KUMAR KASHYAP,MALE,48.0,SC,BJP,601305,4877,606182,1259085,0,,2661281,3850732,69.11104174479034
4,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,MALE,54.0,ST,BJP,148567,5316,153883,339788,0,0.0,379679,652091,58.22484898580106
5,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,MALE,47.0,ST,BJP,216494,9302,225796,463775,0,0.0,379679,652091,58.22484898580106
6,Telangana,Adilabad ,SOYAM BAPU RAO,MALE,52.0,ST,BJP,376892,482,377374,1489790,0,,3626173,18642895,19.45069690088369
7,Telangana,Karimnagar ,BANDI SANJAY KUMAR,MALE,47.0,GENERAL,BJP,497462,814,498276,1651543,0,,3626173,18642895,19.45069690088369
8,Telangana,Nizamabad,ARVIND DHARMAPURI,MALE,43.0,GENERAL,BJP,479748,836,480584,1553385,0,,3626173,18642895,19.45069690088369
9,Telangana,Secundrabad,G . KISHAN REDDY,MALE,58.0,GENERAL,BJP,384248,532,384780,1968276,0,,3626173,18642895,19.45069690088369
10,Uttar Pradesh,Agra,Satyapal Singh Baghel,MALE,58.0,SC,BJP,644459,2416,646875,1937690,0,,42858171,86481398,49.55767597558957
11,Uttar Pradesh,Akbarpur,Devendra Singh 'Bhole',MALE,64.0,GENERAL,BJP,577603,3679,581282,1766121,0,,42858171,86481398,49.55767597558957
12,Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,MALE,46.0,GENERAL,BJP,651805,4410,656215,1887127,0,,42858171,86481398,49.55767597558957
13,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,FEMALE,69.0,GENERAL,BJP,493204,1250,494454,1716160,0,,42858171,86481398,49.55767597558957
14,Uttar Pradesh,Amethi,Smriti Irani,FEMALE,43.0,GENERAL,BJP,467598,916,468514,1743515,0,,42858171,86481398,49.55767597558957
15,Uttar Pradesh,Aonla,DHARMENDRA KASHYAP,MALE,50.0,GENERAL,BJP,536377,1298,537675,1785605,0,,42858171,86481398,49.55767597558957
16,Uttar Pradesh,Badaun,Dr. Sanghmitra Maurya,FEMALE,34.0,GENERAL,BJP,510343,1009,511352,1891576,0,,42858171,86481398,49.55767597558957
17,Uttar Pradesh,Baghpat,Dr. SATYAPAL SINGH,MALE,63.0,GENERAL,BJP,519631,6158,525789,1616476,0,,42858171,86481398,49.55767597558957
18,Uttar Pradesh,Bahraich,AKSHAIBAR LAL,MALE,73.0,SC,BJP,525512,470,525982,1729908,0,,42858171,86481398,49.55767597558957
19,Uttar Pradesh,Ballia,Virendra Singh,MALE,62.0,GENERAL,BJP,464039,5075,469114,1822625,0,,42858171,86481398,49.55767597558957
20,Uttar Pradesh,Banda,R.K. SINGH PATEL,MALE,59.0,GENERAL,BJP,477100,826,477926,1702024,0,,42858171,86481398,49.55767597558957
21,Uttar Pradesh,Bansgaon,Kamlesh Paswan,MALE,42.0,SC,BJP,544434,2239,546673,1751258,0,,42858171,86481398,49.55767597558957
22,Uttar Pradesh,Barabanki,Upendra Singh Rawat,MALE,51.0,SC,BJP,535594,323,535917,1816830,0,,42858171,86481398,49.55767597558957
23,Uttar Pradesh,Bareilly,SANTOSH KUMAR GANGWAR,MALE,70.0,GENERAL,BJP,563533,1737,565270,1797655,0,,42858171,86481398,49.55767597558957
24,Uttar Pradesh,Basti,HARISH CHANDRA ALIAS HARISH DWIVEDI,MALE,45.0,GENERAL,BJP,469214,1948,471162,1845223,0,,42858171,86481398,49.55767597558957
25,Uttar Pradesh,Bhadohi,RAMESH CHAND,MALE,44.0,GENERAL,BJP,508989,1040,510029,1942514,0,,42858171,86481398,49.55767597558957
26,Uttar Pradesh,Bulandshahr,BHOLA SINGH,MALE,42.0,SC,BJP,677196,4125,681321,1787925,0,,42858171,86481398,49.55767597558957
27,Uttar Pradesh,Chandauli,Dr. Mahendra Nath Pandey,MALE,62.0,GENERAL,BJP,508113,2620,510733,1756837,0,,42858171,86481398,49.55767597558957
28,Uttar Pradesh,Deoria,RAMAPATI RAM TRIPATHI,MALE,69.0,GENERAL,BJP,577617,3027,580644,1754195,0,,42858171,86481398,49.55767597558957
29,Uttar Pradesh,Dhaurahra,REKHA VERMA,FEMALE,45.0,GENERAL,BJP,512582,323,512905,1644674,0,,42858171,86481398,49.55767597558957
30,Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,MALE,68.0,GENERAL,BJP,492145,108,492253,1885433,0,,42858171,86481398,49.55767597558957
31,Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),MALE,58.0,GENERAL,BJP,544267,1081,545348,1621295,0,,42858171,86481398,49.55767597558957
32,Uttar Pradesh,Etawah,Dr RAM SHANKAR KATHERIA,MALE,54.0,SC,BJP,519674,2445,522119,1757984,0,,42858171,86481398,49.55767597558957
33,Uttar Pradesh,Faizabad,LALLU SINGH,MALE,64.0,GENERAL,BJP,528113,908,529021,1821785,0,,42858171,86481398,49.55767597558957
34,Uttar Pradesh,Farrukhabad,Mukesh Rajput,MALE,50.0,GENERAL,BJP,567930,1950,569880,1708585,0,,42858171,86481398,49.55767597558957
35,Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,FEMALE,52.0,GENERAL,BJP,563715,2325,566040,1839312,0,,42858171,86481398,49.55767597558957
36,Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,MALE,52.0,GENERAL,BJP,662794,4353,667147,1718837,0,,42858171,86481398,49.55767597558957
37,Uttar Pradesh,Firozabad,Dr. Chandra Sen Jadon,MALE,68.0,GENERAL,BJP,494050,1769,495819,1790510,0,,42858171,86481398,49.55767597558957
38,Uttar Pradesh,Gautam Buddha Nagar,Dr. MAHESH SHARMA,MALE,59.0,GENERAL,BJP,828164,2648,830812,2302960,0,,42858171,86481398,49.55767597558957
39,Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,MALE,67.0,GENERAL,BJP,942576,1927,944503,2728978,0,,42858171,86481398,49.55767597558957
40,Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,MALE,53.0,GENERAL,BJP,507276,914,508190,1770248,0,,42858171,86481398,49.55767597558957
