pc_name,party,max_total_votes,total_electors
ARUNACHAL EAST,INC,118455,312704
ARUNACHAL WEST,BJP,169367,446640
Adilabad ,TRS,430847,1386282
Agra,BJP,583716,1814739
Ahmadnagar ,BJP,605185,1705005
Ahmedabad East,BJP,633582,1601832
Ahmedabad West,BJP,617104,1534400
Ajmer,BJP,637874,1683261
Akbarpur,BJP,481584,1768635
Akola,BJP,456472,1672643
Alappuzha,INC,462525,1271324
Alathur ,CPM,411808,1216351
Aligarh,BJP,514622,1793126
Alipurduars,AITC,362453,1470911
Allahabad,BJP,313772,1666569
Almora,BJP,348186,1253541
Alwar,BJP,642278,1626442
Amalapuram ,TDP,594547,1357865
Ambala,BJP,612121,1692424
Ambedkar Nagar,BJP,432104,1718774
Amethi,INC,408651,1669843
Amravati ,SHS,467212,1612739
Amreli,BJP,436715,1486286
Amritsar,INC,482876,1477262
Amroha,BJP,528880,1544245
Anakapalli,TDP,568463,1401474
Anand,BJP,490829,1496859
Anandpur Sahib,SAD,347394,1564721
Anantapur,TDP,610288,1536894
Anantnag,JKPDP,200429,1301143
Andaman & Nicobar Islands,BJP,90969,269360
Aonla,BJP,409907,1653577
Arakkonam,ADMK,493534,1401813
Arambagh,AITC,748764,1600293
Arani,ADMK,502721,1369668
Araria,RJD,407978,1587332
Arrah,BJP,391074,1824515
Aruku ,YSRCP,413191,1272340
Asansol,BJP,419983,1469684
Attingal,CPM,392478,1251398
Aurangabad,SHS,520902,1589395
Autonomous District,INC,213152,702230
Azamgarh,SP,340306,1703121
BALAGHAT,BJP,480594,1629741
BETUL,BJP,643651,1607831
BHARATPUR,BJP,579825,1690705
BHIND,BJP,404474,1600137
BHOPAL,BJP,714178,1957241
Badaun,SP,498378,1769145
Bagalkot,BJP,571548,1568633
Baghpat,BJP,423475,1505175
Baharampur,INC,583549,1453783
Bahraich,BJP,432392,1638640
Ballia,BJP,359758,1768271
Balurghat,AITC,409641,1254497
Banaskantha,BJP,507856,1515711
Banda,BJP,342066,1601855
Bangalore North,BJP,718326,2401472
Bangalore Rural,INC,652723,2190398
Bangalore South,BJP,633816,1998724
Bangalore central,BJP,557130,1931456
Bangaon,AITC,551213,1540713
Banka,RJD,285150,1549456
Bankura,AITC,483455,1503812
Bansgaon,BJP,417959,1760090
Banswara,BJP,577433,1698244
Bapatla ,TDP,578145,1392964
Barabanki,BJP,454214,1721278
Baramati,NCP,521562,1813553
Baramulla,JKPDP,175277,1190766
Barasat,AITC,525387,1512792
Bardhaman Purba,AITC,574560,1532244
Bardoli,BJP,622769,1614106
Bareilly,BJP,518258,1664081
Barmer,BJP,488747,1680152
Barpeta,AIUDF,394702,1430188
Barrackpore,AITC,479206,1287222
Basirhat,AITC,492326,1490596
Basti,BJP,357680,1787476
Bathinda,SAD,514727,1525289
Beed,BJP,635995,1792652
Begusarai,BJP,428227,1778759
Belgaum,BJP,554417,1580895
Bellary,BJP,534406,1487945
Bhadohi,BJP,403695,1834598
Bhagalpur,RJD,367623,1685339
Bhandara - gondiya,BJP,606129,1655852
Bharuch,BJP,548902,1417548
Bhavnagar,BJP,549529,1594531
Bhilwara,BJP,630317,1754901
Bhiwandi,BJP,411070,1696584
Bhiwani-Mahendragarh,BJP,404542,1473912
Bhongir ,TRS,448164,1492240
Bidar,BJP,459290,1600962
Bijapur,BJP,471757,1622635
Bijnor,BJP,486913,1562081
Bikaner,BJP,584932,1592355
Birbhum,AITC,460568,1495089
Bishnupur,AITC,578870,1466921
Bolpur,AITC,630693,1538421
Bulandshahr,BJP,604449,1736436
Buldhana,SHS,509145,1595435
Burdwan - durgapur,AITC,554521,1583495
Buxar,BJP,319012,1640671
CHANDIGARH,BJP,191362,615214
CHANDNI CHOWK                 ,BJP,437938,1447230
CHELVELLA,TRS,435077,2185164
CHHINDWARA,INC,559755,1402038
Chalakudy,IND,358440,1150497
Chamarajanagar,INC,567782,1555781
Chandauli,BJP,414135,1593133
Chandrapur,BJP,508049,1753690
Chatra,BJP,295862,1312562
Chennai North,ADMK,406704,1422392
Chennai South,ADMK,434540,1795776
Chennai central,ADMK,333296,1328038
Chhota Udaipur,BJP,607916,1536305
Chidambaram ,ADMK,429536,1366190
Chikkballapur,INC,424800,1658410
Chikkodi,INC,474373,1442206
Chitradurga,INC,467511,1661277
Chittoor ,TDP,594862,1451851
Chittorgarh,BJP,703236,1819506
Churu,BJP,595756,1753825
Coimbatore,ADMK,431717,1720221
Cooch behar,AITC,526499,1613403
Cuddalore ,ADMK,481429,1247908
DAMOH,BJP,513079,1651614
DEWAS,BJP,665646,1617111
DHAR,BJP,558387,1668441
Dadar & Nagar Haveli,BJP,80790,196597
Dahod,BJP,511111,1411765
Dakshina Kannada,BJP,642739,1565219
Daman & diu,BJP,46960,111827
Darbhanga,BJP,314949,1495445
Darjeeling,BJP,488257,1437154
Dausa,BJP,315059,1524100
Davanagere,BJP,518894,1522712
Deoria,BJP,496500,1806926
Dhanbad,BJP,543491,1890021
Dharmapuri,PMK,468194,1358273
Dharwad,BJP,545395,1578125
Dhaurahra,BJP,360357,1558041
Dhubri,AIUDF,592569,1550166
Dhule,BJP,529450,1675367
Diamond harbour,AITC,508481,1555914
Dibrugarh,BJP,494364,1124305
Dindigul,ADMK,510462,1400531
Dindori ,BJP,542784,1530208
Domariyaganj,BJP,298845,1761415
Dum dum,AITC,483244,1405981
Dumka,JMM,335815,1273049
EAST DELHI                    ,BJP,572202,1829578
Eluru ,TDP,623471,1427764
Ernakulam,INC,353841,1156492
Erode,ADMK,466995,1321399
Etah,BJP,474978,1577457
Etawah,BJP,439646,1707237
Faizabad,BJP,491761,1738701
Faridabad,BJP,652516,1740352
Faridkot,AAAP,450751,1455075
Farrukhabad,BJP,406195,1613781
Fatehgarh Sahib,AAAP,367293,1396957
Fatehpur,BJP,485994,1804753
Fatehpur Sikri,BJP,426589,1580582
Firozabad,SP,534583,1636738
Firozpur,SAD,487932,1522111
GUNA,INC,517036,1605613
GWALIOR,BJP,442796,1876965
Gadchiroli-Chimur,BJP,535982,1468437
Gandhinagar,BJP,773539,1733972
Ganganagar,BJP,658130,1718414
Garhwal,BJP,405690,1267218
Gauhati,BJP,764985,1922270
Gautam Buddha Nagar,BJP,599702,1986109
Gaya (SC),BJP,326230,1501521
Ghatal,AITC,685696,1610489
Ghaziabad,BJP,758482,2357553
Ghazipur,BJP,306929,1801519
Ghosi,BJP,379797,1891112
Giridih,BJP,391913,1511644
Godda,BJP,380500,1590772
Gonda,BJP,359639,1710825
Gopalganj (SC),BJP,478773,1654838
Gorakhpur,BJP,539127,1903988
Gulbarga,INC,507193,1721990
Guntur,TDP,618417,1572017
