,pc_name,party,max_total_votes,total_electors
354,ARUNACHAL EAST,BJP,153883,339788
344,ARUNACHAL WEST,BJP,225796,463775
7872,Adilabad ,BJP,377374,1489790
6038,Agra,BJP,646875,1937690
3877,Ahmadnagar ,BJP,704660,1861396
1289,Ahmedabad East,BJP,749834,1811851
1315,Ahmedabad West,BJP,641622,1643317
4768,Ajmer,BJP,815076,1876346
6390,Akbarpur,BJP,581282,1766121
3264,Akola,BJP,554444,1865169
2633,Alappuzha,CPIM,445970,1356701
2574,Alathur ,INC,533815,1266794
6000,Aligarh,BJP,656215,1887127
6897,Alipurduars,BJP,750804,1648383
6489,Allahabad,BJP,494454,1716160
7839,Almora,BJP,444651,1337808
4721,Alwar,BJP,760201,1888524
80,Amalapuram ,YSRCP,485958,1459556
1596,Ambala,BJP,746508,1853711
6530,Ambedkar Nagar,BSP,564118,1785657
6288,Amethi,BJP,468514,1743515
3286,Amravati ,IND,510947,1833091
1432,Amreli,BJP,529035,1628451
4353,Amritsar,INC,445032,1507875
5925,Amroha,BSP,601082,1646435
53,Anakapalli,YSRCP,586226,1521363
1456,Anand,BJP,633097,1655870
4434,Anandpur Sahib,INC,428045,1698876
258,Anantapur,YSRCP,695208,1664160
1899,Anantnag,JKN,40180,1397779
8331,Andaman & Nicobar Islands,INC,95308,318471
6107,Aonla,BJP,537675,1785605
5063,Arakkonam,DMK,672190,1500016
7248,Arambagh,AITC,649929,1764726
5171,Arani,INC,617760,1449150
661,Araria,BJP,618434,1805439
1052,Arrah,BJP,566480,2089353
2,Aruku ,YSRCP,562190,1451418
7365,Asansol,BJP,633378,1615865
4311,Aska,BJD,552749,1541145
2676,Attingal,INC,380995,1350710
1136,Aurangabad,BJP,427721,1742883
388,Autonomous District,BJP,381316,795945
6697,Azamgarh,SP,621578,1789168
2975,BALAGHAT,BJP,696102,1767725
7553,BASTAR,INC,402527,1379122
3172,BETUL,BJP,811248,1737437
4732,BHARATPUR,BJP,707992,1943794
2742,BHIND,BJP,527694,1765334
3039,BHOPAL,BJP,866482,2142861
7450,BILASPUR,BJP,634559,1876953
6099,Badaun,BJP,511352,1891576
2031,Bagalkot,BJP,664638,1704010
5948,Baghpat,BJP,525789,1616476
7004,Baharampur,INC,591106,1638378
6541,Bahraich,BJP,525982,1729908
4187,Balasore,BJP,483858,1531781
6745,Ballia,BJP,469114,1822625
6954,Balurghat,BJP,539317,1431704
1210,Banaskantha,BJP,679108,1697384
6441,Banda,BJP,477926,1702024
2356,Bangalore North,BJP,824500,2849250
2341,Bangalore Rural,INC,878258,2497458
2410,Bangalore South,BJP,739229,2215489
2388,Bangalore central,BJP,602853,2204817
7051,Bangaon,BJP,687622,1704632
929,Banka,JD(U),477788,1699394
7326,Bankura,BJP,675319,1648906
6676,Bansgaon,BJP,546673,1751258
4843,Banswara,BJP,711709,1975368
193,Bapatla ,YSRCP,598257,1468671
6501,Barabanki,BJP,535917,1816830
3835,Baramati,NCP,686714,2114663
1879,Baramulla,JKN,133426,1317738
7088,Barasat,AITC,648444,1718252
7357,Bardhaman Durgapur,BJP,598376,1733578
7353,Bardhaman Purba,AITC,640834,1698089
1533,Bardoli,BJP,742273,1826526
6125,Bareilly,BJP,565270,1797655
4143,Bargarh,BJP,581245,1596290
4809,Barmer,BJP,846526,1941231
419,Barpeta,INC,645173,1685149
7059,Barrackpore,BJP,472994,1436431
7103,Basirhat,AITC,782078,1678357
6605,Basti,BJP,471162,1845223
4547,Bathinda,SAD,492824,1621671
3917,Beed,BJP,678175,2045405
888,Begusarai,BJP,692193,1958382
1973,Belgaum,BJP,761991,1779350
2118,Bellary,BJP,616388,1751734
4319,Berhampur,BJD,443843,1502455
6851,Bhadohi,BJP,510029,1942514
4202,Bhadrak ,BJD,513045,1661661
919,Bhagalpur,JD(U),618254,1823820
3365,Bhandara - gondiya,BJP,650243,1811556
1513,Bharuch,BJP,637795,1564519
1446,Bhavnagar,BJP,661273,1768297
4873,Bhilwara,BJP,938160,1997328
3571,Bhiwandi,BJP,523583,1890100
1752,Bhiwani-Mahendragarh,BJP,736699,1654317
8261,Bhongir ,INC,532795,1628033
4294,Bhubaneswar,BJP,486991,1699678
2080,Bidar,BJP,585471,1775095
2046,Bijapur,BJP,635867,1797587
5865,Bijnor,BSP,561045,1664125
4636,Bikaner (SC),BJP,657743,1851628
7387,Birbhum,AITC,654077,1699219
7341,Bishnupur,BJP,657019,1627199
4230,Bolangir,BJP,498086,1744446
7376,Bolpur,AITC,699171,1705073
5989,Bulandshahr,BJP,681321,1787925
3251,Buldhana,SHS,521977,1762918
1063,Buxar,BJP,473053,1829373
8346,CHANDIGARH,BJP,231188,646729
8403,CHANDNI CHOWK                 ,BJP,519055,1562283
8185,CHEVELLA,TRS,528148,2443112
2997,CHHINDWARA,INC,587305,1514783
2590,Chalakudy,INC,473444,1230197
2330,Chamarajanagar,BJP,568537,1686333
6808,Chandauli,BJP,510733,1756837
3385,Chandrapur,INC,559507,1910188
7618,Chatra,BJP,528077,1425218
4934,Chennai North,DMK,590986,1487681
4958,Chennai South,DMK,564872,1973533
4998,Chennai central,DMK,448911,1332300
1504,Chhota Udaipur,BJP,764445,1671253
5487,Chidambaram ,VCK,500229,1480222
2437,Chikkballapur,BJP,745912,1808780
1961,Chikkodi,BJP,645017,1612556
2247,Chitradurga,BJP,626195,1760633
339,Chittoor ,YSRCP,686792,1566499
4850,Chittorgarh,BJP,982942,2015911
4648,Churu,BJP,792999,2019104
5324,Coimbatore,CPIM,571150,1958904
6887,Cooch behar,BJP,731594,1814200
5462,Cuddalore ,DMK,522160,1364038
4258,Cuttack,BJD,524592,1518996
2820,DAMOH,BJP,704524,1768777
3083,DEWAS,BJP,862429,1760503
3124,DHAR,BJP,722147,1786151
7492,DURG,BJP,849374,1940269
8391,Dadra And Nagar Haveli,IND,90421,250029
1483,Dahod,BJP,561760,1598939
2232,Dakshina Kannada,BJP,774285,1724976
8396,Daman & diu,BJP,37597,121740
731,Darbhanga,BJP,586668,1654811
6919,Darjeeling,BJP,750067,1611317
4746,Dausa,BJP,548733,1730289
2175,Davanagere,BJP,652996,1633064
6666,Deoria,BJP,580644,1754195
7674,Dhanbad,BJP,827234,2072634
5128,Dharmapuri,DMK,574988,1485804
2140,Dharwad,BJP,684837,1727311
6186,Dhaurahra,BJP,512905,1644674
4219,Dhenkanal,BJD,522884,1504403
396,Dhubri,AIUDF,718764,1858566
3195,Dhule,BJP,613533,1908173
7134,Diamond harbour,AITC,791127,1719190
497,Dibrugarh,BJP,659583,1314319
5353,Dindigul,DMK,746523,1541881
3533,Dindori ,BJP,567470,1732936
6594,Domariyaganj,BJP,492253,1885433
7078,Dum dum,AITC,512062,1566196
7587,Dumka,BJP,484923,1397253
8454,EAST DELHI                    ,BJP,696156,2039302
117,Eluru ,YSRCP,676809,1594950
2605,Ernakulam,INC,491263,1245972
5277,Erode,DMK,563591,1462246
6083,Etah,BJP,545348,1621295
6352,Etawah,BJP,522119,1757984
6517,Faizabad,BJP,529021,1821785
1800,Faridabad,BJP,913222,2071816
4505,Faridkot,INC,419065,1541971
6341,Farrukhabad,BJP,569880,1708585
4481,Fatehgarh Sahib,INC,411651,1502861
6447,Fatehpur,BJP,566040,1839312
6046,Fatehpur Sikri,BJP,667147,1718837
6063,Firozabad,BJP,495819,1790510
4523,Firozpur,SAD,633427,1618419
2778,GUNA,BJP,614049,1675724
2761,GWALIOR,BJP,627250,2000744
3378,Gadchiroli-Chimur,BJP,519968,1581366
1270,Gandhinagar,BJP,894624,1945772
4626,Ganganagar,BJP,897177,1943486
7829,Garhwal,BJP,506980,1355796
433,Gauhati,BJP,1008936,2181319
5975,Gautam Buddha Nagar,BJP,830812,2302960
1147,Gaya (SC),JD(U),467007,1704596
7279,Ghatal,AITC,717959,1800002
5962,Ghaziabad,BJP,944503,2728978
6794,Ghazipur,BSP,566082,1881077
6714,Ghosi,BSP,573829,1991651
7657,Giridih,AJSUP,648277,1649413
7602,Godda,BJP,637610,1716766
6576,Gonda,BJP,508190,1770248
785,Gopalganj (SC),JD(U),568150,1839514
6640,Gorakhpur,BJP,717122,1981197
2059,Gulbarga,BJP,620192,1945765
157,Guntur,TDP,587918,1706119
4335,Gurdaspur,BJP,558719,1595284
1775,Gurgaon,BJP,881546,2150728
3012,HOSHANGABAD,BJP,877927,1706141
846,Hajipur (SC),LJP,541310,1823664
1857,Hamirpur,BJP,682692,1362269
6207,Hardoi,BJP,568143,1807119
7856,Hardwar,BJP,665674,1840738
2225,Hassan,JD(S),676606,1652999
6013,Hathras,BJP,684299,1864320
4079,Hatkanangle,SHS,585776,1776555
2130,Haveri,BJP,683660,1708510
7797,Hazaribagh,BJP,728798,1667465
273,Hindupur,YSRCP,706602,1578218
3425,Hingoli ,SHS,586312,1733729
1659,Hisar,BJP,603289,1631817
7242,Hooghly,BJP,671448,1766601
4422,Hoshiarpur,BJP,421320,1597500
7195,Howrah,AITC,576711,1633925
8168,Hyderabad,AIMIM,517471,1957931
3132,INDORE,BJP,1068569,2350580
2616,Idukki,INC,498493,1204191
4098,Inner manipur,BJP,263632,937464
2939,JABALPUR,BJP,826454,1819893
7419,JANJGIR-CHAMPA,BJP,572790,1897134
4892,JHALAWAR-BARAN,BJP,887400,1903870
7148,Jadavpur,AITC,688472,1816857
4278,Jagatsinghpur ,BJD,619985,1643595
1121,Jahanabad,JD(U),335584,1588454
