pc_name,total_votes,postal_votes,total_electors,vtr
 HP_Hamirpur,988765,16400,1362269,72.58221394
ARUNACHAL EAST,293781,10927,339788,86.46008688
ARUNACHAL WEST,358310,14187,463775,77.25944693
Adilabad ,1063730,835,1489790,71.40133844
Agra,1145323,3868,1937690,59.1076488
Ahmadnagar ,1203797,11892,1861396,64.67173025
Ahmedabad East,1116367,7071,1811851,61.61472439
Ahmedabad West,997024,5973,1643317,60.67143467
Ajmer,1262214,5336,1876346,67.26978926
Akbarpur,1025314,6172,1766121,58.0545727
Akola,1119440,2538,1865169,60.01815385
Alappuzha,1088728,6206,1356701,80.24819028
Alathur ,1018743,2851,1266794,80.41899472
Aligarh,1163184,7154,1887127,61.637823
Alipurduars,1380217,4312,1648383,83.73157209
Allahabad,889056,2241,1716160,51.80495991
Almora,694472,16548,1337808,51.91118606
Alwar,1265674,13421,1888524,67.01921712
Amalapuram ,1232895,8348,1459556,84.47055132
Ambala,1316235,2841,1853711,71.00540483
Ambedkar Nagar,1090152,1687,1785657,61.0504705
Amethi,942453,1472,1743515,54.05476867
Amravati ,1112385,7438,1833091,60.68356672
Amreli,909167,2386,1628451,55.83017235
Amritsar,859513,2855,1507875,57.00160822
Amroha,1169182,1874,1646435,71.01294615
Anakapalli,1238491,5610,1521363,81.40667283
Anand,1108661,2954,1655870,66.95338402
Anandpur Sahib,1081727,4206,1698876,63.67309915
Anantapur,1342306,7931,1664160,80.65967215
Anantnag,124896,2047,1397779,8.9353181
Andaman & Nicobar Islands,207296,216,318471,65.091013
Aonla,1052795,2302,1785605,58.96012836
Arakkonam,1178060,8383,1500016,78.53649561
Arambagh,1471981,1549,1764726,83.41130578
Arani,1143907,6682,1449150,78.936411
Araria,1169630,532,1805439,64.78368973
Arrah,1080684,7765,2089353,51.7233804
Aruku ,1074538,7560,1451418,74.03366914
Asansol,1238135,903,1615865,76.62366596
Aska,1013862,2321,1541145,65.78628228
Attingal,1004888,5630,1350710,74.39702083
Aurangabad,1198221,1772,1886284,63.52283113
Autonomous District,617735,1863,795945,77.61026202
Azamgarh,1029112,3464,1789168,57.5190256
BALAGHAT,1372018,5133,1767725,77.61490051
BASTAR,912846,2871,1379122,66.1903733
BETUL,1357857,1277,1737437,78.15287691
BHARATPUR,1146797,8629,1943794,58.99786706
BHIND,960687,5728,1765334,54.41956026
BHOPAL,1407954,1718,2142861,65.70440173
BILASPUR,1209434,2051,1876953,64.4360301
Badaun,1081111,2010,1891576,57.15398165
Bagalkot,1204613,3857,1704010,70.69283631
Baghpat,1044894,7833,1616476,64.64024211
Baharampur,1299997,3940,1638378,79.34658546
Bahraich,989848,938,1729908,57.2196903
Balasore,1157871,3450,1531781,75.5898526
Ballia,989732,8620,1822625,54.30255812
Balurghat,1197849,2509,1431704,83.66596727
Banaskantha,1102081,5111,1697384,64.92820717
Banda,1034549,1273,1702024,60.78345546
Bangalore North,1559459,3765,2849250,54.73226288
Bangalore Rural,1621906,1508,2497458,64.9422733
Bangalore South,1188491,3354,2215489,53.64463556
Bangalore central,1197234,2529,2204817,54.30083313
Bangaon,1407758,3292,1704632,82.58427625
Banka,995806,1686,1699394,58.59771189
Bankura,1371855,4370,1648906,83.19788999
Bansgaon,969136,4072,1751258,55.33941886
Banswara,1439671,2201,1975368,72.8811543
Bapatla ,1266492,11922,1468671,86.23388084
Barabanki,1155341,523,1816830,63.59103493
Baramati,1304728,5486,2114663,61.69909815
Baramulla,455550,3436,1317738,34.57060508
Barasat,1395429,2159,1718252,81.21212721
Bardhaman Durgapur,1433007,1532,1733578,82.66181274
Bardhaman Purba,1439286,1422,1698089,84.75916162
Bardoli,1348038,4387,1826526,73.80338413
Bareilly,1068342,2574,1797655,59.4297571
Bargarh,1247912,5892,1596290,78.17577007
Barmer,1422271,4330,1941231,73.26644794
Barpeta,1458549,6311,1685149,86.55311785
Barrackpore,1104517,1950,1436431,76.89314697
Basirhat,1433339,863,1678357,85.40131807
Basti,1054539,5654,1845223,57.14967784
Bathinda,1200810,5000,1621671,74.04769525
Beed,1352399,3261,2045405,66.11888599
Begusarai,1225594,8178,1958382,62.58196818
Belgaum,1205229,6112,1779350,67.73422879
Bellary,1221926,2849,1751734,69.75522539
Berhampur,989910,2747,1502455,65.88616631
Bhadohi,1039390,2161,1942514,53.50746507
Bhadrak ,1225156,5281,1661661,73.73080309
Bhagalpur,1042518,2422,1823820,57.16123302
Bhandara - gondiya,1244931,9371,1811556,68.7216404
Bharuch,1149725,4215,1564519,73.48744247
Bhavnagar,1041279,9159,1768297,58.885979
Bhilwara,1310513,3176,1997328,65.61330938
Bhiwandi,1005172,2409,1890100,53.1808899
Bhiwani-Mahendragarh,1161115,13975,1654317,70.18697142
Bhongir ,1212631,1375,1628033,74.48442384
Bhubaneswar,1005215,1511,1699678,59.14149621
Bidar,1117167,3015,1775095,62.93561753
Bihar_Aurangabad,934901,2069,1742883,53.64106483
Bijapur,1111354,2573,1797587,61.82476843
Bijnor,1100763,4450,1664125,66.14665365
Bikaner (SC),1099598,3900,1851628,59.38547052
Birbhum,1449423,2300,1699219,85.299364
Bishnupur,1420648,2777,1627199,87.30634667
Bolangir,1306705,2655,1744446,74.90658926
Bolpur,1461269,2320,1705073,85.70125737
Bulandshahr,1123629,5187,1787925,62.84542137
Buldhana,1120359,2290,1762918,63.55139604
Buxar,986861,6570,1829373,53.9453135
CHANDIGARH,456568,361,646729,70.59649405
CHANDNI CHOWK                 ,980390,1469,1562283,62.75367523
CHEVELLA,1300194,1241,2443112,53.21876361
CHHINDWARA,1248031,1821,1514783,82.39008492
Chalakudy,990224,1341,1230197,80.49312427
Chamarajanagar,1270658,2943,1686333,75.35036081
Chandauli,1084961,4901,1756837,61.75649761
Chandrapur,1238474,4688,1910188,64.835189
Chatra,925937,3576,1425218,64.96809611
Chennai North,955545,2775,1487681,64.23050372
Chennai South,1125857,2447,1973533,57.04779195
Chennai central,785450,2764,1332300,58.95443969
Chhota Udaipur,1232459,5617,1671253,73.74460958
Chidambaram ,1153192,3807,1480222,77.90669237
Chikkballapur,1386963,1894,1808780,76.67947456
Chikkodi,1217549,5204,1612556,75.50429256
Chitradurga,1245950,2915,1760633,70.76716158
Chittoor ,1319472,10300,1566499,84.23063149
Chittorgarh,1458760,4271,2015911,72.36232155
Churu,1328422,8271,2019104,65.79264862
Coimbatore,1250885,5241,1958904,63.85637071
Cooch behar,1524683,4331,1814200,84.04161614
Cuddalore ,1043202,4461,1364038,76.4789544
Cuttack,1059490,2046,1518996,69.74936076
DAMOH,1164226,434,1768777,65.82095991
DEWAS,1398946,2202,1760503,79.46285806
DHAR,1344132,1587,1786151,75.25298813
DURG,1391996,2635,1940269,71.74242334
Dadra And Nagar Haveli,198983,58,250029,79.58396826
Dahod,1063212,5726,1598939,66.49484439
Dakshina Kannada,1345039,1826,1724976,77.97436022
Daman & diu,87469,28,121740,71.84902251
Darbhanga,964996,2914,1654811,58.3145749
Darjeeling,1267270,7145,1611317,78.64808725
Dausa,1062834,6187,1730289,61.42523012
Davanagere,1194586,2293,1633064,73.14998065
Deoria,1015363,6467,1754195,57.88199145
Dhanbad,1252817,3666,2072634,60.44564549
Dharmapuri,1223205,10894,1485804,82.32613454
Dharwad,1213505,2987,1727311,70.25399595
Dhaurahra,1063840,662,1644674,64.68394344
Dhenkanal,1131522,4872,1504403,75.21402177
Dhubri,1685005,2389,1858566,90.66156381
Dhule,1085038,5182,1908173,56.86266392
Diamond harbour,1409002,1015,1719190,81.95731711
Dibrugarh,1015748,2071,1314319,77.28321663
Dindigul,1160046,4439,1541881,75.23576722
Dindori ,1137631,2877,1732936,65.64760614
Domariyaganj,985269,154,1885433,52.25690863
Dum dum,1204660,1553,1566196,76.91629911
Dumka,1025968,2430,1397253,73.42750382
EAST DELHI                    ,1257821,1507,2039302,61.67899605
Eluru ,1327923,5875,1594950,83.25797047
Ernakulam,967203,1402,1245972,77.62638326
Erode,1067863,5790,1462246,73.02895682
Etah,999607,1754,1621295,61.65484998
Etawah,1027815,4365,1757984,58.46554917
Faizabad,1087121,1355,1821785,59.67339725
Faridabad,1327295,2828,2071816,64.06432811
Faridkot,974947,3938,1541971,63.22732399
Farrukhabad,1002953,2580,1708585,58.70079627
Fatehgarh Sahib,985948,2462,1502861,65.60473657
Fatehpur,1043655,4421,1839312,56.74159686
Fatehpur Sikri,1037151,6147,1718837,60.34027659
Firozabad,1075866,3386,1790510,60.08712601
Firozpur,1172033,5316,1618419,72.41839103
GUNA,1178423,5796,1675724,70.32321552
GWALIOR,1196096,3570,2000744,59.78256089
Gadchiroli-Chimur,1142698,5340,1581366,72.26018518
Gandhinagar,1284090,8637,1945772,65.99385745
Ganganagar,1451765,7371,1943486,74.69902021
Garhwal,742784,21435,1355796,54.78582324
Gauhati,1763757,2517,2181319,80.85736199
Gautam Buddha Nagar,1392952,3297,2302960,60.4852885
Gaya (SC),957248,2146,1704596,56.15688409
Ghatal,1488818,2218,1800002,82.71201921
Ghaziabad,1524456,2564,2728978,55.86179148
Ghazipur,1105627,5737,1881077,58.77627551
Ghosi,1140781,3664,1991651,57.27815767
Giridih,1106918,3228,1649413,67.10981422
Godda,1194036,5067,1716766,69.55147061
Gonda,923816,1632,1770248,52.18568246
Gopalganj (SC),1024876,9482,1839514,55.7144985
Gorakhpur,1184635,3413,1981197,59.79390237
Gulbarga,1189361,3716,1945765,61.12562411
Guntur,1351474,5264,1706119,79.21334913
Gurdaspur,1103887,10459,1595284,69.19689535
Gurgaon,1446509,5071,2150728,67.25671494
HOSHANGABAD,1265869,1190,1706141,74.19486432
Hajipur (SC),1006817,2731,1823664,55.20847042
Hamirpur,1089778,1892,1749100,62.30507118
Hardoi,1057558,2166,1807119,58.52176863
Hardwar,1271030,5817,1840738,69.05002233
Hassan,1277552,3114,1652999,77.28691911
Hathras,1150294,6259,1864320,61.70045915
Hatkanangle,1252211,5955,1776555,70.48534945
Haveri,1266679,3383,1708510,74.13939632
