,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
0, HP_Hamirpur,988765,16400,[1362269],72.58221394,1.20387383
1,ARUNACHAL EAST,293781,10927,[339788],86.46008688,3.21582869
2,ARUNACHAL WEST,358310,14187,[463775],77.25944693,3.05902647
3,Adilabad ,1063730,835,[1489790],71.40133844,0.05604817
4,Agra,1145323,3868,[1937690],59.1076488,0.19961913
5,Ahmadnagar ,1203797,11892,[1861396],64.67173025,0.63887534
6,Ahmedabad East,1116367,7071,[1811851],61.61472439,0.39026388
7,Ahmedabad West,997024,5973,[1643317],60.67143467,0.36347217
8,Ajmer,1262214,5336,[1876346],67.26978926,0.28438252
9,Akbarpur,1025314,6172,[1766121],58.0545727,0.34946643
10,Akola,1119440,2538,[1865169],60.01815385,0.13607346
11,Alappuzha,1088728,6206,[1356701],80.24819028,0.45743314
12,Alathur ,1018743,2851,[1266794],80.41899472,0.22505632
13,Aligarh,1163184,7154,[1887127],61.637823,0.37909478
14,Alipurduars,1380217,4312,[1648383],83.73157209,0.26158969
15,Allahabad,889056,2241,[1716160],51.80495991,0.13058223
16,Almora,694472,16548,[1337808],51.91118606,1.2369488
17,Alwar,1265674,13421,[1888524],67.01921712,0.71066081
18,Amalapuram ,1232895,8348,[1459556],84.47055132,0.57195476
19,Ambala,1316235,2841,[1853711],71.00540483,0.15326014
20,Ambedkar Nagar,1090152,1687,[1785657],61.0504705,0.09447503
21,Amethi,942453,1472,[1743515],54.05476867,0.08442715
22,Amravati ,1112385,7438,[1833091],60.68356672,0.40576273
23,Amreli,909167,2386,[1628451],55.83017235,0.14651961
24,Amritsar,859513,2855,[1507875],57.00160822,0.1893393
25,Amroha,1169182,1874,[1646435],71.01294615,0.11382168
26,Anakapalli,1238491,5610,[1521363],81.40667283,0.36874829
27,Anand,1108661,2954,[1655870],66.95338402,0.17839565
28,Anandpur Sahib,1081727,4206,[1698876],63.67309915,0.24757546
29,Anantapur,1342306,7931,[1664160],80.65967215,0.47657677
30,Anantnag,124896,2047,[1397779],8.9353181,0.14644661
31,Andaman & Nicobar Islands,207296,216,[318471],65.091013,0.06782407
32,Aonla,1052795,2302,[1785605],58.96012836,0.12891989
33,Arakkonam,1178060,8383,[1500016],78.53649561,0.55886071
34,Arambagh,1471981,1549,[1764726],83.41130578,0.08777567
35,Arani,1143907,6682,[1449150],78.936411,0.46109788
36,Araria,1169630,532,[1805439],64.78368973,0.02946652
37,Arrah,1080684,7765,[2089353],51.7233804,0.37164615
38,Aruku ,1074538,7560,[1451418],74.03366914,0.52086994
39,Asansol,1238135,903,[1615865],76.62366596,0.05588338
40,Aska,1013862,2321,[1541145],65.78628228,0.15060231
41,Attingal,1004888,5630,[1350710],74.39702083,0.41681782
42,Aurangabad,1198221,1772,[1886284],63.52283113,0.09394132
43,Autonomous District,617735,1863,[795945],77.61026202,0.2340614
44,Azamgarh,1029112,3464,[1789168],57.5190256,0.19360954
45,BALAGHAT,1372018,5133,[1767725],77.61490051,0.29037322
46,BASTAR,912846,2871,[1379122],66.1903733,0.20817593
47,BETUL,1357857,1277,[1737437],78.15287691,0.07349907
48,BHARATPUR,1146797,8629,[1943794],58.99786706,0.44392564
49,BHIND,960687,5728,[1765334],54.41956026,0.32447118
50,BHOPAL,1407954,1718,[2142861],65.70440173,0.08017319
51,BILASPUR,1209434,2051,[1876953],64.4360301,0.10927285
52,Badaun,1081111,2010,[1891576],57.15398165,0.1062606
53,Bagalkot,1204613,3857,[1704010],70.69283631,0.22634844
54,Baghpat,1044894,7833,[1616476],64.64024211,0.48457261
55,Baharampur,1299997,3940,[1638378],79.34658546,0.24048174
56,Bahraich,989848,938,[1729908],57.2196903,0.05422254
57,Balasore,1157871,3450,[1531781],75.5898526,0.22522802
58,Ballia,989732,8620,[1822625],54.30255812,0.47294424
59,Balurghat,1197849,2509,[1431704],83.66596727,0.17524572
60,Banaskantha,1102081,5111,[1697384],64.92820717,0.30111041
