,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
0,ARUNACHAL EAST,261291,6323,[339788],76.89824243,1.86086619
1,ARUNACHAL WEST,335665,9869,[463775],72.37669128,2.12797154
2,Adilabad ,1045839,8119,[1489790],70.20043093,0.54497614
3,Agra,1070400,897,[1937690],55.24103443,0.04629223
4,Ahmadnagar ,1062318,1767,[1861396],57.07103701,0.09492875
5,Ahmedabad East,985525,5260,[1811851],54.39326965,0.29031085
6,Ahmedabad West,964609,4134,[1643317],58.69889985,0.25156437
7,Ajmer,1156314,2745,[1876346],61.62584086,0.14629498
8,Akbarpur,971375,395,[1766121],55.00047845,0.0223654
9,Akola,978491,902,[1865169],52.4612515,0.04836023
10,Alappuzha,997464,3085,[1356701],73.52128435,0.22738982
11,Alathur ,927228,1078,[1266794],73.19485252,0.08509671
12,Aligarh,1064357,71,[1887127],56.40092055,0.00376233
13,Alipurduars,1223566,2296,[1648383],74.22825885,0.13928802
14,Allahabad,891586,753,[1716160],51.95238206,0.04387703
15,Almora,656525,1021,[1337808],49.07468037,0.07631887
16,Alwar,1062305,2636,[1888524],56.25054275,0.1395799
17,Amalapuram ,1120927,7013,[1459556],76.79917728,0.48048859
18,Ambala,1218995,272,[1853711],65.7597112,0.01467327
19,Ambedkar Nagar,1034404,49,[1785657],57.92848235,0.00274409
20,Amethi,874625,2,[1743515],50.16446661,0.00011471
21,Amravati ,1004061,2998,[1833091],54.77420379,0.16354889
22,Amreli,808816,3311,[1628451],49.66781315,0.20332205
23,Amritsar,1007196,86,[1507875],66.79572246,0.00570339
24,Amroha,1095860,129,[1646435],66.55956658,0.00783511
25,Anakapalli,1148072,3952,[1521363],75.46338382,0.25976706
26,Anand,970894,3715,[1655870],58.6334676,0.22435336
27,Anandpur Sahib,1086563,172,[1698876],63.95775795,0.01012434
28,Anantapur,1212145,6296,[1664160],72.83824873,0.37832901
29,Anantnag,375279,41,[1397779],26.84823567,0.00293322
30,Andaman & Nicobar Islands,190328,115,[318471],59.76305535,0.03611004
31,Aonla,995641,941,[1785605],55.75930847,0.05269923
32,Arakkonam,1089052,2010,[1500016],72.60269224,0.13399857
33,Arambagh,1361934,1437,[1764726],77.1753802,0.08142907
34,Arani,1096046,3544,[1449150],75.63371632,0.24455715
35,Araria,975811,7,[1805439],54.04840596,0.00038772
36,Arrah,893213,159,[2089353],42.75069842,0.00761001
37,Aruku ,909614,5539,[1451418],62.67071237,0.3816268
38,Asansol,1142395,196,[1615865],70.69866604,0.01212973
39,Attingal,859350,2843,[1350710],63.62209505,0.21048189
40,Aurangabad,1769207,1064,[1886284],93.7932464,0.0564072
41,Autonomous District,543280,318,[795945],68.25597246,0.03995251
42,Azamgarh,960218,463,[1789168],53.668409,0.02587795
43,BALAGHAT,1113364,2008,[1767725],62.98287347,0.11359233
44,BETUL,1047719,488,[1737437],60.30256061,0.02808735
45,BHARATPUR,962432,2760,[1943794],49.51306568,0.14199035
46,BHIND,729084,67,[1765334],41.30005993,0.00379532
47,BHOPAL,1130182,113,[2142861],52.74173173,0.00527332
48,Badaun,1027594,710,[1891576],54.32475354,0.03753484
49,Bagalkot,1079310,505,[1704010],63.33941702,0.02963598
50,Baghpat,1004263,652,[1616476],62.12668793,0.04033465
51,Baharampur,1154587,517,[1638378],70.47134422,0.0315556
52,Bahraich,934263,182,[1729908],54.00651364,0.01052079
53,Ballia,942211,1029,[1822625],51.69527467,0.05645703
54,Balurghat,1063053,1973,[1431704],74.25089264,0.13780782
55,Banaskantha,886634,3418,[1697384],52.23532212,0.20136869
56,Banda,858326,93,[1702024],50.42972367,0.00546408
57,Bangalore North,1356718,1233,[2849250],47.61667105,0.04327455
58,Bangalore Rural,1455244,241,[2497458],58.26900793,0.00964981
59,Bangalore South,1113726,812,[2215489],50.26998554,0.03665105
60,Bangalore central,1074589,632,[2204817],48.73823995,0.02866451
61,Bangaon,1283688,3160,[1704632],75.30587247,0.18537725
62,Banka,899353,35,[1699394],52.92198278,0.00205956
63,Bankura,1236319,1465,[1648906],74.97813702,0.08884679
64,Bansgaon,877877,725,[1751258],50.12836487,0.04139881
65,Banswara,1171188,2176,[1975368],59.28961085,0.11015669
66,Bapatla ,1184634,6702,[1468671],80.66027041,0.45633093
67,Barabanki,1068168,7,[1816830],58.79295256,0.00038529
68,Baramati,1066556,1328,[2114663],50.43621608,0.0627996
69,Baramulla,465992,13,[1317738],35.36302361,0.00098654
70,Barasat,1269331,3585,[1718252],73.87338993,0.20864227
71,Bardhaman Purba,1320822,670,[1698089],77.78284884,0.03945612
72,Bardoli,1206179,4467,[1826526],66.03678239,0.24456263
73,Bareilly,1017891,1163,[1797655],56.62326753,0.06469539
74,Barmer,1219119,3115,[1941231],62.80133585,0.16046519
75,Barpeta,1205863,511,[1685149],71.55824203,0.03032373
76,Barrackpore,1051130,3006,[1436431],73.17650482,0.20926867
77,Basirhat,1273771,874,[1678357],75.89392483,0.05207474
78,Basti,1048534,13,[1845223],56.82424292,0.00070452
79,Bathinda,1176767,339,[1621671],72.56508873,0.02090436
80,Beed,1232200,740,[2045405],60.24234809,0.03617865
81,Begusarai,1077855,490,[1958382],55.0380365,0.02502065
82,Belgaum,1078528,812,[1779350],60.61359485,0.04563464
83,Bellary,1045772,324,[1751734],59.69924658,0.01849596
84,Bhadohi,981866,392,[1942514],50.54614793,0.02018003
85,Bhagalpur,974016,63,[1823820],53.40527026,0.00345429
86,Bhandara - gondiya,1197196,905,[1811556],66.08661283,0.04995705
87,Bharuch,1060211,3892,[1564519],67.76593956,0.24876655
88,Bhavnagar,917402,4410,[1768297],51.88053817,0.24939249
89,Bhilwara,1104090,1929,[1997328],55.27835188,0.09657903
90,Bhiwandi,875605,561,[1890100],46.32585577,0.02968097
91,Bhiwani-Mahendragarh,1030431,714,[1654317],62.28739716,0.04315981
92,Bhongir ,1211732,3239,[1628033],74.42920383,0.19895174
93,Bidar,959384,339,[1775095],54.04691017,0.01909757
94,Bijapur,966757,23,[1797587],53.7808184,0.00127949
95,Bijnor,1060346,2176,[1664125],63.71792984,0.13075941
96,Birbhum,1275819,883,[1699219],75.08267033,0.05196505
97,Bishnupur,1272070,1339,[1627199],78.17544136,0.08228864
98,Bolpur,1304756,1293,[1705073],76.52200228,0.07583253
99,Bulandshahr,1009710,954,[1787925],56.47384538,0.05335794
100,Buldhana,978626,234,[1762918],55.5117141,0.01327345
101,Buxar,888204,72,[1829373],48.55237286,0.00393577
102,CHANDIGARH,453455,131,[646729],70.11514869,0.02025578
103,CHANDNI CHOWK                 ,981863,2118,[1562283],62.84796032,0.13557083
104,CHHINDWARA,1107498,208,[1514783],73.11265046,0.01373134
105,Chalakudy,884033,862,[1230197],71.86109217,0.07007008
106,Chamarajanagar,1133029,532,[1686333],67.18892413,0.03154774
107,Chandauli,980572,699,[1756837],55.81462594,0.03978741
108,Chandrapur,1109743,994,[1910188],58.0960094,0.05203676
109,Chatra,712971,10,[1425218],50.02539962,0.00070165
110,Chennai North,910114,575,[1487681],61.17669043,0.03865076
111,Chennai South,1071409,1270,[1973533],54.28888192,0.0643516
112,Chennai central,814894,815,[1332300],61.16445245,0.06117241
113,Chhota Udaipur,1100542,6000,[1671253],65.85131036,0.35901207
114,Chidambaram ,1088423,2077,[1480222],73.53106493,0.14031679
115,Chikkballapur,1263274,1823,[1808780],69.84121894,0.10078617
116,Chikkodi,1071103,435,[1612556],66.42268548,0.02697581
117,Chitradurga,1096499,462,[1760633],62.27868045,0.02624056
118,Chittoor ,1198915,6762,[1566499],76.5346802,0.43166322
119,Chittorgarh,1172629,2753,[2015911],58.16868899,0.13656357
120,Churu,1131104,3530,[2019104],56.02009604,0.17483002
121,Coimbatore,1176620,2308,[1958904],60.06522014,0.11782099
122,Cooch behar,1332409,3276,[1814200],73.44333591,0.18057546
123,Cuddalore ,984538,2330,[1364038],72.17819445,0.17081636
124,DAMOH,912080,442,[1768777],51.56557327,0.02498902
125,DEWAS,1143970,988,[1760503],64.97972454,0.05612032
126,DHAR,1076816,886,[1786151],60.28695222,0.04960387
127,Dahod,900381,5070,[1598939],56.31115383,0.31708527
128,Dakshina Kannada,1207474,354,[1724976],69.99946666,0.02052202
129,Daman & diu,87233,5,[121740],71.65516675,0.00410711
130,Darbhanga,828342,17,[1654811],50.05659257,0.00102731
131,Darjeeling,1142009,1102,[1611317],70.87426,0.06839126
132,Dausa,930492,1736,[1730289],53.77668124,0.10033006
133,Davanagere,1114868,374,[1633064],68.26848182,0.02290174
134,Deoria,971557,1114,[1754195],55.38477763,0.06350491
135,Dhanbad,1143902,13,[2072634],55.19073797,0.00062722
136,Dharmapuri,1101345,960,[1485804],74.1245144,0.06461148
137,Dharwad,1041226,796,[1727311],60.28016958,0.04608319
138,Dhaurahra,1060271,404,[1644674],64.46693995,0.02456414
139,Dhubri,1369624,501,[1858566],73.69251348,0.02695627
140,Dhule,983083,3853,[1908173],51.51959492,0.2019209
141,Diamond harbour,1261296,1044,[1719190],73.36571292,0.06072627
142,Dibrugarh,890968,144,[1314319],67.78932664,0.01095624
143,Dindigul,1083364,1235,[1541881],70.26249107,0.08009697
144,Dindori ,970182,683,[1732936],55.98487192,0.03941288
145,Domariyaganj,935027,0,[1885433],49.59216265,0
146,Dum dum,1132644,3240,[1566196],72.31815175,0.20687066
147,Dumka,903060,546,[1397253],64.63110117,0.03907667
148,EAST DELHI                    ,1196336,908,[2039302],58.66399386,0.04452504
149,Eluru ,1201697,6977,[1594950],75.34386658,0.43744318
150,Ernakulam,850834,869,[1245972],68.28676728,0.06974475
151,Erode,1008582,2320,[1462246],68.97485102,0.15866003
152,Etah,926281,264,[1621295],57.13216904,0.01628328
153,Etawah,939604,1723,[1757984],53.44781295,0.09800999
154,Faizabad,1022716,158,[1821785],56.13812826,0.00867281
155,Faridabad,1130725,54,[2071816],54.57651645,0.00260641
156,Faridkot,1032107,456,[1541971],66.93426789,0.02957254
157,Farrukhabad,970677,128,[1708585],56.81174773,0.00749158
158,Fatehgarh Sahib,1030954,118,[1502861],68.5994247,0.00785169
159,Fatehpur,1056688,1093,[1839312],57.45017702,0.05942439
160,Fatehpur Sikri,967968,816,[1718837],56.3152876,0.04747396
161,Firozabad,1104606,38,[1790510],61.69225528,0.0021223
162,Firozpur,1105412,439,[1618419],68.3019663,0.02712524
163,GUNA,976629,1885,[1675724],58.28101764,0.11248869
164,GWALIOR,990912,682,[2000744],49.52717589,0.03408732
165,Gadchiroli-Chimur,1027129,586,[1581366],64.95200984,0.03705657
166,Gandhinagar,1135495,6839,[1945772],58.35704286,0.35148003
167,Ganganagar,1256806,5356,[1943486],64.66761273,0.27558727
168,Garhwal,682024,4022,[1355796],50.30432307,0.2966523
169,Gauhati,1511729,113,[2181319],69.30343522,0.00518035
170,Gautam Buddha Nagar,1199262,868,[2302960],52.07480807,0.03769062
171,Gaya (SC),809378,2456,[1704596],47.48210133,0.14408106
172,Ghatal,1366909,1444,[1800002],75.93930451,0.08022213
173,Ghaziabad,1342321,503,[2728978],49.18768125,0.01843181
174,Ghazipur,986673,414,[1881077],52.45255776,0.02200867
175,Ghosi,1039656,145,[1991651],52.20071187,0.00728039
176,Giridih,969997,12,[1649413],58.80861858,0.00072753
177,Godda,1049442,334,[1716766],61.12900652,0.01945518
178,Gonda,873728,1306,[1770248],49.35624839,0.07377497
179,Gopalganj (SC),903583,22,[1839514],49.12074602,0.00119597
180,Gorakhpur,1040199,853,[1981197],52.50356224,0.04305478
181,Gulbarga,997638,513,[1945765],51.27227594,0.02636495
182,Guntur,1244926,7347,[1706119],72.96829823,0.43062647
183,Gurdaspur,1042699,350,[1595284],65.36134005,0.02193967
184,Gurgaon,1320620,333,[2150728],61.40339457,0.01548313
185,HOSHANGABAD,1031175,1227,[1706141],60.43902585,0.07191668
186,Hajipur (SC),904706,1226,[1823664],49.60924819,0.0672273
187,Hamirpur,1810445,2139,[1749100],103.5072323,0.12229146
188,Hardoi,972896,31,[1807119],53.83685302,0.00171544
189,Hardwar,1175692,2340,[1840738],63.87068665,0.12712293
190,Hassan,1147172,664,[1652999],69.39943702,0.04016941
191,Hathras,1049273,33,[1864320],56.28180784,0.00177008
192,Hatkanangle,1188871,2144,[1776555],66.92002218,0.12068301
193,Haveri,1115968,510,[1708510],65.31820124,0.02985057
194,Hazaribagh,967152,24,[1667465],58.00133736,0.00143931
195,Hindupur,1177257,6474,[1578218],74.59406749,0.41020949
196,Hingoli ,1051164,2079,[1733729],60.63023691,0.11991493
197,Hisar,1155914,745,[1631817],70.83600673,0.04565463
198,Hooghly,1348870,2853,[1766601],76.35397014,0.16149657
199,Hoshiarpur,961297,697,[1597500],60.17508607,0.04363067
200,Howrah,1125399,364,[1633925],68.87702924,0.02227764
201,Hyderabad,971421,195,[1957931],49.61466977,0.00995949
202,INDORE,1316817,921,[2350580],56.02093951,0.03918182
203,Idukki,819766,1169,[1204191],68.07607763,0.09707762
204,Inner manipur,640870,42,[937464],68.36209177,0.00448017
205,JABALPUR,1002184,52,[1819893],55.06829248,0.00285731
206,JHALAWAR-BARAN,1146364,122,[1903870],60.21230441,0.006408
207,Jadavpur,1272362,2014,[1816857],70.03093804,0.11085077
208,Jahanabad,811516,513,[1588454],51.08841679,0.03229555
209,Jaipur,1296806,4738,[2127021],60.96818038,0.22275285
210,Jaipur Rural,1013691,5580,[1952542],51.91647606,0.2857813
211,Jalandhar,1040762,53,[1617018],64.36304358,0.00327764
212,Jalaun,1109166,320,[1933358],57.36992321,0.01655151
213,Jalgaon,990332,511,[1931400],51.27534431,0.02645749
214,Jalna,1066259,733,[1867220],57.10409057,0.03925622
215,Jalore,1087272,344,[2071244],52.49367047,0.01660838
216,Jalpaiguri,1302117,2497,[1735464],75.02990555,0.14388083
217,Jammu,1253593,2064,[2047302],61.23146463,0.10081561
218,Jamnagar,852643,3588,[1657166],51.45187628,0.21651422
219,Jamshedpur,1049140,18,[1703279],61.59531116,0.00105679
220,Jamui (SC),775639,42,[1718814],45.12640693,0.00244355
221,Jangipur,1119084,726,[1616213],69.24112107,0.04491982
