,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12,margin
0,Telangana,Adilabad ,GODAM NAGESH,M,49.0,ST,TRS,425762,5085,430847,1386282, ,0
1,Telangana,Adilabad ,NARESH,M,37.0,ST,INC,257994,1563,259557,1386282, ,-171290
11,Telangana,Pedipalp ,BALKA SUMAN,M,31.0,SC,TRS,563214,2282,565496,1425355, ,0
12,Telangana,Pedipalp ,G. VIVEKANAND,M,56.0,SC,INC,273441,897,274338,1425355, ,-291158
28,Telangana,Karimnagar ,PONNAM PRABHAKAR,M,47.0,GEN,INC,298386,2320,300706,1550810, ,-204652
31,Telangana,Karimnagar ,VINOD KUMAR BOINAPALLY,M,54.0,GEN,TRS,503197,2161,505358,1550810, ,0
46,Telangana,Nizamabad,KALVAKUNTLA KAVITHA,F,36.0,GEN,TRS,435706,3601,439307,1496193, ,0
48,Telangana,Nizamabad,MADHU YASKHI GOUD,M,56.0,GEN,INC,270948,1175,272123,1496193, ,-167184
62,Telangana,Zahirabad,B.B. PATIL,M,58.0,GEN,TRS,505983,2678,508661,1445354, ,0
65,Telangana,Zahirabad,SURESH KUMAR SHETKAR,M,53.0,GEN,INC,362939,1091,364030,1445354, ,-144631
73,Telangana,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,M,60.0,GEN,TRS,655484,2008,657492,1536166, ,0
76,Telangana,Medak,DR.P. SHRAVAN KUMAR REDDY,M,39.0,GEN,INC,260202,261,260463,1536166, ,-397029
88,Telangana,Malkajgiri,CH.MALLA REDDY,M,56.0,GEN,TDP,522423,933,523356,3183083, ,0
90,Telangana,Malkajgiri,HANUMANTH RAO MYNAMPALLY,M,47.0,GEN,TRS,493433,1757,495190,3183083, ,-28166
118,Telangana,Secundrabad,M.ANJAN KUMAR YADAV,M,53.0,GEN,INC,183427,109,183536,1893741, ,-254735
120,Telangana,Secundrabad,BANDARU DATTATREYA,M,66.0,GEN,BJP,437860,411,438271,1893741, ,0
150,Telangana,Hyderabad,DR.BHAGAVANTH RAO,M,61.0,GEN,BJP,311336,78,311414,1823217, ,-202454
153,Telangana,Hyderabad,ASADUDDIN OWAISI,M,43.0,GEN,AIMIM,513777,91,513868,1823217, ,0
166,Telangana,CHELVELLA,KONDA VISHWESHWAR REDDY,M,54.0,GEN,TRS,431084,3993,435077,2185164, ,0
168,Telangana,CHELVELLA,PATLOLLA KARTIK REDDY,M,34.0,GEN,INC,360834,1220,362054,2185164, ,-73023
184,Telangana,Mahbubnagar,JAIPAL REDDY SUDINI,M,72.0,GEN,INC,330167,1471,331638,1418668, ,-2590
185,Telangana,Mahbubnagar,AP JITHENDER REDDY,M,60.0,GEN,TRS,332581,1647,334228,1418668, ,0
192,Telangana,Nagar Kurnool,YELLAIAH NANDI,M,71.0,SC,INC,419040,1035,420075,1477305, ,0
195,Telangana,Nagar Kurnool,DR. MANDA JAGANNATH,M,63.0,SC,TRS,401212,2187,403399,1477305, ,-16676
200,Telangana,Nalgonda,GUTHA SUKHENDER REDDY,M,60.0,GEN,INC,467984,4109,472093,1494343, ,0
201,Telangana,Nalgonda,TERA CHINNAPA REDDY,M,50.0,GEN,TDP,277433,1504,278937,1494343, ,-193156
211,Telangana,Bhongir ,KOMATIREDDY RAJGOPAL REDDY,M,46.0,GEN,INC,416240,1380,417620,1492240, ,-30544
213,Telangana,Bhongir ,DR. BOORA NARSAIAH GOUD,M,55.0,GEN,TRS,446822,1342,448164,1492240, ,0
223,Telangana,Warangal,KADIYAM SRIHARI,M,63.0,SC,TRS,658828,2811,661639,1537778, ,0
226,Telangana,Warangal,RAJAIAH SIRICILLA,M,61.0,SC,INC,268450,615,269065,1537778, ,-392574
236,Telangana,Mahabubabad  ,PROF. AZMEERA SEETARAM NAIK,M,56.0,ST,TRS,319388,1181,320569,1387288, ,0
237,Telangana,Mahabubabad  ,P. BALRAM,M,49.0,ST,INC,283735,1842,285577,1387288, ,-34992
256,Telangana,Khammam ,NAMA NAGESWARA RAO,M,56.0,GEN,TDP,407614,2616,410230,1440267, ,-12204
259,Telangana,Khammam ,PONGULETI  SRINIVASA REDDY,M,48.0,GEN,YSRCP,418609,3825,422434,1440267, ,0
283,Andhra Pradesh,Aruku ,GUMMIDI SANDHYARANI,F,41.0,ST,TDP,319846,1947,321793,1272340, ,-91398
285,Andhra Pradesh,Aruku ,KOTHAPALLI GEETHA,F,43.0,ST,YSRCP,410730,2461,413191,1272340, ,0
296,Andhra Pradesh,Srikakulam,RAMMOHAN NAIDU KINJARAPU,M,27.0,GEN,TDP,552348,4197,556545,1413726, ,0
300,Andhra Pradesh,Srikakulam,REDDY SHANTHI,F,45.0,GEN,YSRCP,426135,2718,428853,1413726, ,-127692
305,Andhra Pradesh,Vizianagaram,ASHOK GAJAPATHI RAJU PUSAPATI,M,62.0,GEN,TDP,534357,2192,536549,1403736, ,0
