,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,margin,margin_difference
0,Andhra Pradesh,Aruku ,KISHORE CHANDRA DEO,MALE,72.0,ST,TDP,336163,1938,338101,1451418,-224089,451508.0
2,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,FEMALE,26.0,ST,YSRCP,557561,4629,562190,1451418,0,174843.0
11,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,MALE,32.0,GENERAL,TDP,529213,5331,534544,1553860,0,443539.0
13,Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,MALE,52.0,GENERAL,YSRCP,520931,6960,527891,1553860,-6653,598682.0
21,Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,MALE,67.0,GENERAL,TDP,527307,3075,530382,1503980,-48036,-48036.0
23,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,MALE,57.0,GENERAL,YSRCP,573466,4952,578418,1503980,0,519344.0
38,Andhra Pradesh,Visakhapatnam,BHARAT MATHUKUMILLI,MALE,29.0,GENERAL,TDP,431093,1399,432492,1829300,-4414,539909.0
39,Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,MALE,52.0,GENERAL,YSRCP,433968,2938,436906,1829300,0,0.0
51,Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,MALE,43.0,GENERAL,TDP,495381,1653,497034,1521363,-89192,-89192.0
53,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,FEMALE,52.0,GENERAL,YSRCP,583210,3016,586226,1521363,0,657895.0
62,Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,MALE,49.0,GENERAL,TDP,508361,3531,511892,1563930,-25738,-25738.0
65,Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,FEMALE,55.0,GENERAL,YSRCP,534655,2975,537630,1563930,0,0.0
79,Andhra Pradesh,Amalapuram ,GANTI HARISH MADHUR (BALAYOGI),MALE,28.0,SC,TDP,443590,2573,446163,1459556,-39795,127487.0
80,Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,FEMALE,46.0,SC,YSRCP,482003,3955,485958,1459556,0,471828.0
91,Andhra Pradesh,Rajahmundry,MAGANTI ROOPA,FEMALE,45.0,GENERAL,TDP,459100,1290,460390,1534256,-121634,-121634.0
92,Andhra Pradesh,Rajahmundry,MARGANI BHARAT,MALE,36.0,GENERAL,YSRCP,578471,3553,582024,1534256,0,484425.0
102,Andhra Pradesh,Narasapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,MALE,57.0,GENERAL,YSRCP,444376,4858,449234,1439691,0,23839.0
104,Andhra Pradesh,Narasapuram,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),MALE,48.0,GENERAL,TDP,414547,2011,416558,1439691,-32676,-32676.0
117,Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,MALE,46.0,GENERAL,YSRCP,672834,3975,676809,1594950,0,0.0
120,Andhra Pradesh,Eluru ,MAGANTTI VENKATESWARA RAO BABU,MALE,59.0,GENERAL,TDP,509549,1335,510884,1594950,-165925,314981.0
128,Andhra Pradesh,Machilipatnam ,KONAKALLA NARAYANA RAO,MALE,68.0,GENERAL,TDP,509887,2725,512612,1473347,-60238,435316.0
131,Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,MALE,50.0,GENERAL,YSRCP,567592,5258,572850,1473347,0,0.0
142,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),MALE,53.0,GENERAL,TDP,573929,1569,575498,1652994,0,391978.0
144,Andhra Pradesh,Vijayawada,POTLURI.V.PRASAD ( P V P ),MALE,48.0,GENERAL,YSRCP,564174,2598,566772,1652994,-8726,-8726.0
157,Andhra Pradesh,Guntur,Jayadev Galla,MALE,53.0,GENERAL,TDP,586292,1626,587918,1706119,0,319031.0
159,Andhra Pradesh,Guntur,Modugula Venugopala Reddy,MALE,52.0,GENERAL,YSRCP,580840,2873,583713,1706119,-4205,316389.0
179,Andhra Pradesh,Narasaraopet,RAYAPATI SAMBASIVARAO,MALE,75.0,GENERAL,TDP,589344,2211,591555,1670391,-154002,-154002.0
180,Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,MALE,35.0,GENERAL,YSRCP,740509,5048,745557,1670391,0,198850.0
193,Andhra Pradesh,Bapatla ,NANDIGAM SURESH,MALE,42.0,SC,YSRCP,592250,6007,598257,1468671,0,0.0
194,Andhra Pradesh,Bapatla ,MALYADRI SRIRAM,MALE,65.0,SC,TDP,577403,4789,582192,1468671,-16065,232282.0
206,Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,MALE,65.0,GENERAL,YSRCP,729344,9858,739202,1556469,0,0.0
207,Andhra Pradesh,Ongole ,SIDDA RAGHAVA RAO,MALE,61.0,GENERAL,TDP,516287,8064,524351,1556469,-214851,43878.0
221,Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,MALE,60.0,GENERAL,YSRCP,715024,5864,720888,1603220,0,495587.0
222,Andhra Pradesh,Nandyal,MANDRA SIVANANDA REDDY,MALE,57.0,GENERAL,TDP,466869,3900,470769,1603220,-250119,-120300.0
241,Andhra Pradesh,Kurnool,KOTLA JAYA SURYA PRAKASH REDDY,MALE,67.0,GENERAL,TDP,453071,3324,456395,1573009,-149067,-149067.0
244,Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,MALE,52.0,GENERAL,YSRCP,603098,2364,605462,1573009,0,742444.0
