,state,party,total_votes
0,Andaman & Nicobar Islands,AAAP,2839
1,Andaman & Nicobar Islands,AINHCP,212
2,Andaman & Nicobar Islands,AITC,1721
3,Andaman & Nicobar Islands,BJP,93901
4,Andaman & Nicobar Islands,BSP,2486
5,Andaman & Nicobar Islands,INC,95308
6,Andaman & Nicobar Islands,IND,9417
7,Andaman & Nicobar Islands,NOTA,1412
8,Andhra Pradesh,ACP,1263
9,Andhra Pradesh,AIFB,1687
10,Andhra Pradesh,AINPP,2023
11,Andhra Pradesh,ANC,1510
12,Andhra Pradesh,APoI,1757
13,Andhra Pradesh,ARPS,1563
14,Andhra Pradesh,AYSRCP,5511
15,Andhra Pradesh,AlPP,370
16,Andhra Pradesh,BAHUMP,1017
17,Andhra Pradesh,BCUF,649
18,Andhra Pradesh,BJP,303985
19,Andhra Pradesh,BSP,83613
20,Andhra Pradesh,CPI,26536
21,Andhra Pradesh,CPI(ML)(L),4440
22,Andhra Pradesh,CPIM,41111
23,Andhra Pradesh,DABAP,4444
24,Andhra Pradesh,HMRD,447
25,Andhra Pradesh,ILP(AP),1017
26,Andhra Pradesh,INC,406977
27,Andhra Pradesh,IND,248025
28,Andhra Pradesh,IPBP,6937
29,Andhra Pradesh,IUML,2387
30,Andhra Pradesh,JAJGP,11464
31,Andhra Pradesh,JPD,913
32,Andhra Pradesh,JnP,1829346
33,Andhra Pradesh,MCPI,583
34,Andhra Pradesh,MPP,7342
35,Andhra Pradesh,NDDHP,628
36,Andhra Pradesh,NNKP,887
37,Andhra Pradesh,NOTA,468822
38,Andhra Pradesh,NPT,1341
39,Andhra Pradesh,NRCP,1489
40,Andhra Pradesh,NVSP,4286
41,Andhra Pradesh,NavaP,1135
42,Andhra Pradesh,PPOI,27339
43,Andhra Pradesh,PRSHP,9738
44,Andhra Pradesh,RD,1220
45,Andhra Pradesh,RDHP,368
46,Andhra Pradesh,RKSP,3460
47,Andhra Pradesh,RPC(S),996
48,Andhra Pradesh,RPI(A),8614
49,Andhra Pradesh,RPI(KH),1804
50,Andhra Pradesh,RRS,1229
51,Andhra Pradesh,SAPRP,4983
52,Andhra Pradesh,SDPI,7293
53,Andhra Pradesh,SMFB,2107
54,Andhra Pradesh,SP,6753
55,Andhra Pradesh,SUCI(C),2184
56,Andhra Pradesh,TDP,12515345
57,Andhra Pradesh,VCK,4864
58,Andhra Pradesh,VJNP,1726
59,Andhra Pradesh,YSRCP,15537006
60,Arunachal Pradesh,AIFB,1921
61,Arunachal Pradesh,BJP,379679
62,Arunachal Pradesh,INC,134888
63,Arunachal Pradesh,IND,13439
64,Arunachal Pradesh,JD(S),59878
65,Arunachal Pradesh,NOTA,7464
66,Arunachal Pradesh,NPEP,27119
67,Arunachal Pradesh,PPA,27703
68,Assam,ADRP,8285
69,Assam,AGP,1480697
70,Assam,AIFB,5816
71,Assam,AITC,74522
72,Assam,AIUDF,1402088
73,Assam,AJM,21678
74,Assam,ASDC,36915
75,Assam,BGanP,13039
76,Assam,BJP,6484596
77,Assam,BMUP,6933
78,Assam,BNJD,2072
79,Assam,BOPF,446774
80,Assam,CPI,31227
81,Assam,CPIM,40937
82,Assam,HND,22031
83,Assam,INC,6373659
84,Assam,IND,868715
85,Assam,NCP,11010
86,Assam,NOTA,178353
87,Assam,NPEP,48689
88,Assam,NRCong,4278
89,Assam,PUJP,22415
90,Assam,RPI(A),11250
91,Assam,SP,2383
92,Assam,SUCI(C),16831
93,Assam,SwaBP,4110
94,Assam,TNRMPI,3973
95,Assam,UPPL,312435
96,Assam,VPI,50355
97,Bihar,AAAP,26147
98,Bihar,AAHPty,3434
99,Bihar,AAM,32218
100,Bihar,ABJS,3597
101,Bihar,AHFBK,23252
102,Bihar,AIFB,16454
103,Bihar,AIMIM,295029
104,Bihar,AITC,5483
105,Bihar,AJPR,31017
106,Bihar,AKBHAD,4378
107,Bihar,AKBMP,10127
108,Bihar,AMiP,11311
109,Bihar,ANC,12431
110,Bihar,APKSP,8354
111,Bihar,APoI,25234
112,Bihar,ASDHP,11598
113,Bihar,BALP,12270
114,Bihar,BBC,19003
115,Bihar,BBMP,9894
116,Bihar,BDlP,15376
117,Bihar,BHAIP,1613
118,Bihar,BHAPRAP,4965
119,Bihar,BIP,2231
120,Bihar,BJAZP,1814
121,Bihar,BJKD,23414
122,Bihar,BJKVP,40906
123,Bihar,BJP,9619548
124,Bihar,BKVP,3778
125,Bihar,BLND,32445
126,Bihar,BLRP,4208
127,Bihar,BLSP,1462518
128,Bihar,BMF,23765
129,Bihar,BMUP,63443
130,Bihar,BMtrP,12737
131,Bihar,BNDl,26065
132,Bihar,BNSKP,2640
133,Bihar,BRM,7944
134,Bihar,BSP,682428
135,Bihar,BSSPA,3615
136,Bihar,BhAmAP,9628
137,Bihar,BhNP,5674
138,Bihar,CPI,280250
139,Bihar,CPI(ML)(L),545096
140,Bihar,CPIM,27577
141,Bihar,GJNP,11678
142,Bihar,HAMS,956501
143,Bihar,HND,10966
144,Bihar,INC,3140797
145,Bihar,IND,2225474
146,Bihar,JANADIP,34770
147,Bihar,JAPL,97631
148,Bihar,JD(U),8902719
149,Bihar,JDR,27584
150,Bihar,JGHTP,6171
151,Bihar,JHP,13693
152,Bihar,JKNPP,3545
153,Bihar,JKiP,9264
154,Bihar,JMM,30853
155,Bihar,JP,13467
156,Bihar,JPJD,17791
157,Bihar,JPS,1793
158,Bihar,JRVP,2364
159,Bihar,JTVP,17955
160,Bihar,KPOI,3064
161,Bihar,LAJSP,9868
162,Bihar,LCD,2384
163,Bihar,LJP,3206979
164,Bihar,LJVM,9278
165,Bihar,LSD,6313
166,Bihar,MADP,14532
167,Bihar,MOSP,17980
168,Bihar,ManJP,6267
169,Bihar,NCP,38991
170,Bihar,NJP,4444
171,Bihar,NOTA,816950
172,Bihar,PBI,5965
173,Bihar,PMP,13238
174,Bihar,PMPT,11081
175,Bihar,PPID,55477
176,Bihar,PSPL,20434
177,Bihar,PSS,2830
178,Bihar,PUJP,5074
179,Bihar,RACHEP,1975
180,Bihar,RAHIS,67782
181,Bihar,RDU,1907
182,Bihar,RJBP,37610
183,Bihar,RJD,6270769
184,Bihar,RJPD,1414
185,Bihar,RMGP,16371
186,Bihar,RPI,6428
187,Bihar,RPI(A),10283
188,Bihar,RPP,2718
189,Bihar,RRP,3195
190,Bihar,RSJVP,6497
191,Bihar,RSPSR,55803
192,Bihar,RSTSAHP,2756
193,Bihar,RSWD,8381
194,Bihar,RUC,3776
195,Bihar,RVNP,10721
196,Bihar,SAAFP,8643
197,Bihar,SANVP,2364
198,Bihar,SBSP,36617
199,Bihar,SGUP,6514
200,Bihar,SHS,64462
201,Bihar,SJDD,25630
202,Bihar,SP,2881
203,Bihar,SPAKP,3978
204,Bihar,SPL,15132
205,Bihar,SSD,54483
206,Bihar,SUCI(C),33146
207,Bihar,SWSP,2069
208,Bihar,SaBP,6395
209,Bihar,VCSMP,17856
210,Bihar,VPI,42919
211,Bihar,VSIP,660706
212,Bihar,WAP,29392
213,Bihar,YKP,30492
214,Bihar,mimm,4413
215,Bihar,ravp,9109
216,Chandigarh,AAAP,13781
217,Chandigarh,AIFB,164
218,Chandigarh,AKBHAD,209
219,Chandigarh,ANC,245
220,Chandigarh,BHAPRAP,531
221,Chandigarh,BJP,231188
222,Chandigarh,BJSAP,452
223,Chandigarh,BKNP,285
224,Chandigarh,BMFP,1578
225,Chandigarh,BMUP,920
226,Chandigarh,BSP,7396
227,Chandigarh,BSP(A),312
228,Chandigarh,BhaRP,461
229,Chandigarh,CHKAP,3186
230,Chandigarh,CPIM,377
231,Chandigarh,HSS,365
232,Chandigarh,INC,184218
233,Chandigarh,IND,4714
234,Chandigarh,JanSP,486
235,Chandigarh,NOTA,4335
236,Chandigarh,RPI(A),212
237,Chandigarh,RaJPa,194
238,Chandigarh,RasLP,158
239,Chandigarh,SAKAP,658
240,Chandigarh,SVJSP,143
241,Chhattisgarh,ABSKP,9912
242,Chhattisgarh,APoI,57703
