,state,party,votes,total_votes_statewise,split_votes_perc
0,Andaman & Nicobar Islands,AAAP,3737,190328,1.963452566096423
1,Andaman & Nicobar Islands,AIFB,225,190328,0.11821697280484217
2,Andaman & Nicobar Islands,AITC,2283,190328,1.1995082173931317
3,Andaman & Nicobar Islands,BJP,90969,190328,47.79591021814972
4,Andaman & Nicobar Islands,BSP,1139,190328,0.5984405867765121
5,Andaman & Nicobar Islands,CPI(ML)(L),436,190328,0.22907822285738302
6,Andaman & Nicobar Islands,CPM,1777,190328,0.9336513807742425
7,Andaman & Nicobar Islands,INC,83157,190328,43.6914169223656
8,Andaman & Nicobar Islands,IND,3511,190328,1.8447101845235594
9,Andaman & Nicobar Islands,NCP,1151,190328,0.6047454919927704
10,Andaman & Nicobar Islands,NOTA,1564,190328,0.8217393131856585
11,Andaman & Nicobar Islands,SP,379,190328,0.19912992308015637
12,Andhra Pradesh,AAAP,55639,28934993,0.19228966117254634
13,Andhra Pradesh,AIFB,933,28934993,0.003224469416667908
14,Andhra Pradesh,AIMIM,5598,28934993,0.019346816500007448
15,Andhra Pradesh,ANC,2565,28934993,0.008864698878620776
16,Andhra Pradesh,ARPS,12042,28934993,0.04161742841963017
17,Andhra Pradesh,BJP,2077079,28934993,7.178432702575736
18,Andhra Pradesh,BSP,171363,28934993,0.592234461573915
19,Andhra Pradesh,CPI(ML)(L),6627,28934993,0.02290306412031964
20,Andhra Pradesh,CPM,50066,28934993,0.1730292452464046
21,Andhra Pradesh,DABAP,7746,28934993,0.026770353806548356
22,Andhra Pradesh,GRIP,2594,28934993,0.008964923544304988
23,Andhra Pradesh,GaAP,5481,28934993,0.018942461814315973
24,Andhra Pradesh,HJP,3896,28934993,0.01346466543123062
25,Andhra Pradesh,ICSP,6150,28934993,0.021254541170962093
26,Andhra Pradesh,ILP(AP),6390,28934993,0.02208398668007281
27,Andhra Pradesh,INC,822614,28934993,2.8429728667983434
28,Andhra Pradesh,IND,266507,28934993,0.9210543095690398
29,Andhra Pradesh,JD(S),888,28934993,0.003068948383709649
30,Andhra Pradesh,JD(U),3809,28934993,0.013163991434177985
