,party,state,total_votes,split_votes,vote_perc
252,BJP,Uttar Pradesh,34318854,520018484,6.599545026941773
149,AITC,West Bengal,20316262,520018484,3.906834588595124
951,SP,Uttar Pradesh,17988967,520018484,3.459293766180819
96,ADMK,Tamil Nadu,17978922,520018484,3.457362104074747
241,BJP,Madhya Pradesh,16015695,520018484,3.0798318699763754
328,BSP,Uttar Pradesh,15914194,520018484,3.0603131407152055
233,BJP,Gujarat,15249243,520018484,2.932442493717204
247,BJP,Rajasthan,14895106,520018484,2.864341645209673
238,BJP,Karnataka,13350285,520018484,2.567271243381418
242,BJP,Maharashtra,13308961,520018484,2.5593246027770045
1027,YSRCP,Andhra Pradesh,13131029,520018484,2.525108126733434
482,INC,Karnataka,12666530,520018484,2.435784571073054
997,TDP,Andhra Pradesh,11729219,520018484,2.255538862730118
412,CPM,West Bengal,11723166,520018484,2.254374865644199
228,BJP,Bihar,10543025,520018484,2.02743274025621
485,INC,Madhya Pradesh,10340274,520018484,1.988443549248915
921,SHS,Maharashtra,10050652,520018484,1.9327489905147295
421,DMK,Tamil Nadu,9570666,520018484,1.8404472714858344
486,INC,Maharashtra,8830190,520018484,1.6980531022816487
254,BJP,West Bengal,8692297,520018484,1.6715361602415657
477,INC,Gujarat,8486083,520018484,1.6318810313673389
494,INC,Rajasthan,8230164,520018484,1.582667588408261
708,NCP,Maharashtra,7782275,520018484,1.4965381499785304
800,RJD,Bihar,7224893,520018484,1.3893531138404687
1004,TRS,Telangana,6736270,520018484,1.2953904923118078
499,INC,Uttar Pradesh,6061267,520018484,1.1655868371017366
563,JD(U),Bihar,5662444,520018484,1.088892832509392
483,INC,Kerala,5590285,520018484,1.0750165949870352
227,BJP,Assam,5507152,520018484,1.0590300478626833
237,BJP,Jharkhand,5207439,520018484,1.001394981183015
501,INC,West Bengal,4946911,520018484,0.9512952235751682
497,INC,Telangana,4755715,520018484,0.9145280689676408
493,INC,Punjab,4575879,520018484,0.8799454520928144
471,INC,Assam,4467295,520018484,0.8590646558632712
234,BJP,Haryana,3993527,520018484,0.7679586635616591
401,CPM,Kerala,3880655,520018484,0.7462532812583639
245,BJP,NCT OF Delhi,3838850,520018484,0.7382141439418527
897,SAD,Punjab,3636148,520018484,0.6992343756765385
558,JD(S),Karnataka,3406465,520018484,0.6550661379952025
58,AAAP,Punjab,3373062,520018484,0.6486427124771204
472,INC,Bihar,3021065,520018484,0.5809533878030382
533,INLD,Haryana,2799899,520018484,0.5384229765186577
56,AAAP,NCT OF Delhi,2722887,520018484,0.5236135029384841
478,INC,Haryana,2634905,520018484,0.5066944889597425
253,BJP,Uttarakhand,2429698,520018484,0.4672330070482648
998,TDP,Telangana,2370011,520018484,0.455755145811317
646,LJP,Bihar,2295929,520018484,0.44150911374142615
150,AIUDF,Assam,2237612,520018484,0.43029470467822833
249,BJP,Tamil Nadu,2223566,520018484,0.42759364684429185
419,DMDK,Tamil Nadu,2078843,520018484,0.3997632899525933
225,BJP,Andhra Pradesh,2077079,520018484,0.39942407124128304
516,IND,Kerala,2043666,520018484,0.3929987227146333
250,BJP,Telangana,2014829,520018484,0.38745334290848016
239,BJP,Kerala,1856796,520018484,0.3570634616134145
525,IND,Rajasthan,1806700,520018484,0.3474299578935736
757,PMK,Tamil Nadu,1804812,520018484,0.34706689387602613
496,INC,Tamil Nadu,1750990,520018484,0.3367168771639279
481,INC,Jharkhand,1724740,520018484,0.33166897967419173
235,BJP,Himachal Pradesh,1652995,520018484,0.31787235470653
518,IND,Maharashtra,1577114,520018484,0.3032803733953426
624,JVM,Jharkhand,1567655,520018484,0.30146139959132684
506,IND,Bihar,1533264,520018484,0.2948479808267738
500,INC,Uttarakhand,1494440,520018484,0.2873820923642399
505,IND,Assam,1436900,520018484,0.27631710106673824
669,MDMK,Tamil Nadu,1417535,520018484,0.2725931949757386
529,IND,Uttar Pradesh,1414869,520018484,0.27208052089163814
352,CPI,Kerala,1364010,520018484,0.26230029161809565
409,CPM,Tripura,1295436,520018484,0.24911345266719404
321,BSP,Maharashtra,1271680,520018484,0.24454515351419703
479,INC,Himachal Pradesh,1260477,520018484,0.242390807016006
862,RSP,West Bengal,1255794,520018484,0.24149026210383706
490,INC,NCT OF Delhi,1253078,520018484,0.240967972976899
