state,total_votes,total_electors,vtr
Jammu & Kashmir,3566863,7183129,49.65611783
Bihar,35885332,63800160,56.24646082
Uttar Pradesh,81093120,138810557,58.41999467
Maharashtra,48717419,80798823,60.2947137
Madhya Pradesh,29639807,48121301,61.59394361
Uttarakhand,4391890,7127057,61.6227708
Mizoram,433201,702170,61.69460387
Rajasthan,27110642,42994657,63.05583971
Gujarat,25824003,40603104,63.60105621
Jharkhand,12982940,20349796,63.79887051
Himachal Pradesh,3098500,4810071,64.41692857
NCT OF Delhi,8271766,12711164,65.0748114
Karnataka,31038861,46209813,67.16941486
Meghalaya,1078058,1567241,68.78699575
Telangana,19432195,28173254,68.9739105
Punjab,13845132,19608161,70.60902856
Andaman & Nicobar Islands,190328,269360,70.65934066
Haryana,11495151,16097233,71.4107263
Tamil Nadu,40607149,55114867,73.67730562
Chandigarh,453455,615214,73.70687273
Kerala,17975895,24326650,73.89383659
Goa,817000,1060777,77.01901531
Daman & Diu,87233,111827,78.00710025
Arunachal Pradesh,596956,759344,78.614699
Andhra Pradesh,28934993,36760884,78.71136342
Manipur,1412636,1774369,79.61342877
Assam,15085883,18837713,80.08341034
Puducherry,740017,901357,82.10032207
West Bengal,51631828,62833113,82.17295871
Sikkim,308967,370770,83.33117566
Dadra & Nagar Haveli,165286,196597,84.07351079
Tripura,2023829,2388822,84.72079544
Lakshadweep,43239,49922,86.61311646
Nagaland,1038910,1182972,87.82202791
