state,total_electors,total_votes,vtr
Jammu & Kashmir,7922538,3552622,44.84196857
Bihar,71216290,40806661,57.29961642
Uttar Pradesh,146134603,86481398,59.1792746
NCT OF Delhi,14327649,8679012,60.57526954
Maharashtra,88676946,54054245,60.9563674
Uttarakhand,7856318,4842925,61.64369874
Telangana,29708615,18642895,62.75248779
Mizoram,792464,499621,63.04652325
Gujarat,45152373,29081964,64.40849521
Andaman & Nicobar Islands,318471,207296,65.091013
Punjab,20892673,13765432,65.88640908
Rajasthan,48955813,32441064,66.26601013
Jharkhand,22404856,14961958,66.77997841
Karnataka,51094530,35138682,68.77190572
Haryana,18057010,12681536,70.23054204
Chandigarh,646729,456568,70.59649405
Madhya Pradesh,51867474,36910610,71.16330747
Meghalaya,1914796,1367231,71.4034811
Chhattisgarh,19016462,13614453,71.59298612
Daman & Diu,121740,87469,71.84902251
Himachal Pradesh,5330154,3850732,72.24429163
Tamil Nadu,59941832,43392884,72.39165463
Odisha,32497762,23794122,73.21772496
Goa,1136113,853203,75.09842771
Kerala,26204836,20385216,77.79180911
Dadra & Nagar Haveli,250029,198983,79.58396826
Andhra Pradesh,39405967,31612534,80.2227084
Sikkim,434128,351746,81.02356909
Arunachal Pradesh,803563,652091,81.1499534
Puducherry,973410,790760,81.23606702
Assam,22050059,17986066,81.56924206
West Bengal,70001284,57206976,81.7227524
Tripura,2614718,2153172,82.3481538
Manipur,1959563,1617330,82.53523872
Nagaland,1213777,1006357,82.91119374
Lakshadweep,55189,47009,85.1782058
