,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12
649,Arunachal Pradesh,ARUNACHAL EAST,NINONG ERING,M,55.0,ST,INC,116347,2108,118455,312704, 
643,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,M,42.0,ST,BJP,162575,6792,169367,446640, 
0,Telangana,Adilabad ,GODAM NAGESH,M,49.0,ST,TRS,425762,5085,430847,1386282, 
6161,Uttar Pradesh,Agra,DR. RAM SHANKAR KATHERIA,M,49.0,SC,BJP,583141,575,583716,1814739, 
4090,Maharashtra,Ahmadnagar ,GANDHI DILIPKUMAR MANSUKHLAL,M,64.0,GEN,BJP,603976,1209,605185,1705005, 
1579,Gujarat,Ahmedabad East,PARESH RAWAL,M,59.0,GEN,BJP,630869,2713,633582,1601832, 
1594,Gujarat,Ahmedabad West,DR. KIRIT P SOLANKI,M,64.0,SC,BJP,614892,2212,617104,1534400, 
4818,Rajasthan,Ajmer,SANWAR LAL JAT ,M,59.0,GEN,BJP,635990,1884,637874,1683261, 
6619,Uttar Pradesh,Akbarpur,DEVENDRA SINGH @ BHOLE SINGH,M,60.0,GEN,BJP,481379,205,481584,1768635, 
3474,Maharashtra,Akola,DHOTRE SANJAY SHAMRAO,M,55.0,GEN,BJP,455996,476,456472,1672643, 
2884,Kerala,Alappuzha,K C VENUGOPAL,M,51.0,GEN,INC,461101,1424,462525,1271324, 
2793,Kerala,Alathur ,P.K.BIJU,M,39.0,SC,CPM,411310,498,411808,1216351, 
6115,Uttar Pradesh,Aligarh,SATISH KUMAR,M,42.0,GEN,BJP,514554,68,514622,1793126, 
7276,West Bengal,Alipurduars,DASRATH TIRKEY,M,47.0,ST,AITC,361685,768,362453,1470911, 
6740,Uttar Pradesh,Allahabad,SHYAMA CHARAN GUPTA,M,69.0,GEN,BJP,313465,307,313772,1666569, 
8058,Uttarakhand,Almora,AJAY TAMTA,M,41.0,SC,BJP,347284,902,348186,1253541, 
4731,Rajasthan,Alwar,CHAND NATH,M,58.0,GEN,BJP,640481,1797,642278,1626442, 
372,Andhra Pradesh,Amalapuram ,DR PANDULA RAVINDRA BABU,M,58.0,SC,TDP,591480,3067,594547,1357865, 
1860,Haryana,Ambala,RATTAN LAL KATARIA,M,62.0,SC,BJP,611902,219,612121,1692424, 
6792,Uttar Pradesh,Ambedkar Nagar,HARI OM PANDEY,M,58.0,GEN,BJP,432074,30,432104,1718774, 
6483,Uttar Pradesh,Amethi,RAHUL GANDHI,M,43.0,GEN,INC,408650,1,408651,1669843, 
3481,Maharashtra,Amravati ,ADSUL ANANDRAO VITHOBA,M,66.0,SC,SHS,465363,1849,467212,1612739, 
1689,Gujarat,Amreli,KACHHADIYA NARANBHAI BHIKHABHAI,M,58.0,GEN,BJP,435132,1583,436715,1486286, 
4380,Punjab,Amritsar,CAPTAIN AMARINDER SINGH,M,72.0,GEN,INC,482854,22,482876,1477262, 
6015,Uttar Pradesh,Amroha,KANWAR SINGH TANWAR,M,52.0,GEN,BJP,528796,84,528880,1544245, 
339,Andhra Pradesh,Anakapalli,MUTTAMSETTI SRINIVASA RAO (AVANTHI),M,47.0,GEN,TDP,566667,1796,568463,1401474, 
1721,Gujarat,Anand,DILIP PATEL,M,59.0,GEN,BJP,489507,1322,490829,1496859, 
4466,Punjab,Anandpur Sahib,PREM SINGH CHANDUMAJRA,M,64.0,GEN,SAD,347347,47,347394,1564721, 
552,Andhra Pradesh,Anantapur,J.C. DIVAKAR REDDI,M,70.0,GEN,TDP,606849,3439,610288,1536894, 
2172,Jammu & Kashmir,Anantnag,MEHBOOBA MUFTI,F,54.0,GEN,JKPDP,200407,22,200429,1301143, 
8113,Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,M,64.0,GEN,BJP,90882,87,90969,269360, 
6261,Uttar Pradesh,Aonla,DHARMENDRA KUMAR,M,49.0,GEN,BJP,409533,374,409907,1653577, 
5137,Tamil Nadu,Arakkonam,"HARI, G.",M,53.0,GEN,ADMK,492667,867,493534,1401813, 
7623,West Bengal,Arambagh,APARUPA PODDAR (AFRIN ALI),F,28.0,SC,AITC,748168,596,748764,1600293, 
5247,Tamil Nadu,Arani,V.ELUMALAI,M,58.0,GEN,ADMK,501662,1059,502721,1369668, 
955,Bihar,Araria,TASLEEM UDDIN,M,72.0,GEN,RJD,407975,3,407978,1587332, 
1346,Bihar,Arrah,RAJ KUMAR SINGH,M,61.0,GEN,BJP,390953,121,391074,1824515, 
285,Andhra Pradesh,Aruku ,KOTHAPALLI GEETHA,F,43.0,ST,YSRCP,410730,2461,413191,1272340, 
7745,West Bengal,Asansol,BABUL SUPRIYA BARAL (BABUL SUPRIYO),M,43.0,GEN,BJP,419887,96,419983,1469684, 
2938,Kerala,Attingal,DR.A .SAMPATH,M,51.0,GEN,CPM,391346,1132,392478,1251398, 
3755,Maharashtra,Aurangabad,CHANDRAKANT BHAURAO KHAIRE,M,62.0,GEN,SHS,520559,343,520902,1589395, 
688,Assam,Autonomous District,BIREN SINGH ENGTI,M,74.0,ST,INC,213038,114,213152,702230, 
7019,Uttar Pradesh,Azamgarh,MULAYAM SINGH YADAV,M,74.0,GEN,SP,340084,222,340306,1703121, 
3177,Madhya Pradesh,BALAGHAT,BODHSINGH BHAGAT,M,58.0,GEN,BJP,479123,1471,480594,1629741, 
3372,Madhya Pradesh,BETUL,JYOTI DHURVE,F,47.0,ST,BJP,643318,333,643651,1607831, 
4750,Rajasthan,BHARATPUR,BAHADUR SINGH KOLI,M,56.0,SC,BJP,577863,1962,579825,1690705, 
2992,Madhya Pradesh,BHIND,DR. BHAGIRATH PRASAD,M,66.0,SC,BJP,404417,57,404474,1600137, 
3229,Madhya Pradesh,BHOPAL,ALOK SANJAR,M,50.0,GEN,BJP,714081,97,714178,1957241, 
6246,Uttar Pradesh,Badaun,DHARMENDRA YADAV,M,37.0,GEN,SP,498008,370,498378,1769145, 
2253,Karnataka,Bagalkot,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,M,61.0,GEN,BJP,571200,348,571548,1568633, 
6048,Uttar Pradesh,Baghpat,DR. SATYA PAL SINGH,M,58.0,GEN,BJP,423108,367,423475,1505175, 
7384,West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,M,58.0,GEN,INC,583193,356,583549,1453783, 
6807,Uttar Pradesh,Bahraich,SADHVI SAVITRI BAI FOOLE,F,33.0,SC,BJP,432286,106,432392,1638640, 
7071,Uttar Pradesh,Ballia,BHARAT SINGH,M,62.0,GEN,BJP,359329,429,359758,1768271, 
7326,West Bengal,Balurghat,ARPITA GHOSH,F,47.0,GEN,AITC,408857,784,409641,1254497, 
1503,Gujarat,Banaskantha,CHAUDHARY HARIBHAI PARTHIBHAI,M,59.0,GEN,BJP,506171,1685,507856,1515711, 
6682,Uttar Pradesh,Banda,BHAIRON PRASAD MISHRA,M,60.0,GEN,BJP,342008,58,342066,1601855, 
2578,Karnataka,Bangalore North,D.V SADANANDA GOWDA,M,61.0,GEN,BJP,717355,971,718326,2401472, 
2562,Karnataka,Bangalore Rural,D K SURESH,M,47.0,GEN,INC,652626,97,652723,2190398, 
2617,Karnataka,Bangalore South,ANANTH KUMAR,M,54.0,GEN,BJP,633312,504,633816,1998724, 
2591,Karnataka,Bangalore central,P.C. MOHAN,M,50.0,GEN,BJP,556710,420,557130,1931456, 
7427,West Bengal,Bangaon,KAPIL KRISHNA THAKUR,M,73.0,SC,AITC,550003,1210,551213,1540713, 
1248,Bihar,Banka,JAI PRAKASH NARAYAN YADAV,M,60.0,GEN,RJD,285148,2,285150,1549456, 
7700,West Bengal,Bankura,SREEMATI  DEV VARMA (MOON MOON SEN),F,60.0,GEN,AITC,482911,544,483455,1503812, 
6990,Uttar Pradesh,Bansgaon,KAMLESH PASWAN,M,38.0,SC,BJP,417597,362,417959,1760090, 
4909,Rajasthan,Banswara,MANSHANKAR NINAMA ,M,58.0,ST,BJP,575782,1651,577433,1698244, 
493,Andhra Pradesh,Bapatla ,MALYADRI SRIRAM,M,60.0,SC,TDP,574690,3455,578145,1392964, 
6764,Uttar Pradesh,Barabanki,PRIYANKA SINGH RAWAT,F,28.0,SC,BJP,454211,3,454214,1721278, 
4065,Maharashtra,Baramati,SUPRIYA SULE,F,44.0,GEN,NCP,521050,512,521562,1813553, 
2142,Jammu & Kashmir,Baramulla,MUZAFFAR HUSSAIN BAIG,M,67.0,GEN,JKPDP,175277,0,175277,1190766, 
7462,West Bengal,Barasat,DR. KAKALI GHOSHDOSTIDAR,F,55.0,GEN,AITC,524105,1282,525387,1512792, 
7726,West Bengal,Bardhaman Purba,SUNIL KUMAR MONDAL,M,55.0,SC,AITC,574315,245,574560,1532244, 
