,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,margin,margin_difference
1857,Himachal Pradesh, HP_Hamirpur,ANURAG SINGH THAKUR,MALE,44.0,GENERAL,BJP,668812,13880,682692,1362269,0,
354,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,MALE,54.0,ST,BJP,148567,5316,153883,339788,0,0.0
344,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,MALE,47.0,ST,BJP,216494,9302,225796,463775,0,0.0
7872,Telangana,Adilabad ,SOYAM BAPU RAO,MALE,52.0,ST,BJP,376892,482,377374,1489790,0,
6038,Uttar Pradesh,Agra,Satyapal Singh Baghel,MALE,58.0,SC,BJP,644459,2416,646875,1937690,0,
3877,Maharashtra,Ahmadnagar ,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,MALE,37.0,GENERAL,BJP,696961,7699,704660,1861396,0,
1289,Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,MALE,58.0,GENERAL,BJP,745810,4024,749834,1811851,0,
1315,Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,MALE,69.0,SC,BJP,638241,3381,641622,1643317,0,
4768,Rajasthan,Ajmer,Bhagirath Chaudhary,MALE,64.0,GENERAL,BJP,811091,3985,815076,1876346,0,
6390,Uttar Pradesh,Akbarpur,Devendra Singh 'Bhole',MALE,64.0,GENERAL,BJP,577603,3679,581282,1766121,0,
3264,Maharashtra,Akola,Dhotre Sanjay Shamrao,MALE,60.0,GENERAL,BJP,552898,1546,554444,1865169,0,
2633,Kerala,Alappuzha,Adv. A M ARIFF,MALE,54.0,GENERAL,CPIM,443003,2967,445970,1356701,0,
2574,Kerala,Alathur ,RAMYA HARIDAS,FEMALE,32.0,SC,INC,532493,1322,533815,1266794,0,
6000,Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,MALE,46.0,GENERAL,BJP,651805,4410,656215,1887127,0,
6897,West Bengal,Alipurduars,JOHN BARLA,MALE,43.0,ST,BJP,747788,3016,750804,1648383,0,
6489,Uttar Pradesh,Allahabad,Rita Bahuguna Joshi,FEMALE,69.0,GENERAL,BJP,493204,1250,494454,1716160,0,
7839,Uttarakhand,Almora,Ajay Tamta,MALE,46.0,SC,BJP,430455,14196,444651,1337808,0,
4721,Rajasthan,Alwar,Balak Nath,MALE,35.0,GENERAL,BJP,750580,9621,760201,1888524,0,
80,Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,FEMALE,46.0,SC,YSRCP,482003,3955,485958,1459556,0,471828.0
1596,Haryana,Ambala,RATTAN LAL KATARIA,MALE,67.0,SC,BJP,744438,2070,746508,1853711,0,
6530,Uttar Pradesh,Ambedkar Nagar,Ritesh Pandey,MALE,38.0,GENERAL,BSP,563445,673,564118,1785657,0,
6288,Uttar Pradesh,Amethi,Smriti Irani,FEMALE,43.0,GENERAL,BJP,467598,916,468514,1743515,0,
3286,Maharashtra,Amravati ,Navnit Ravi Rana,FEMALE,33.0,SC,IND,507844,3103,510947,1833091,0,
1432,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,MALE,64.0,GENERAL,BJP,527593,1442,529035,1628451,0,
4353,Punjab,Amritsar,GURJEET SINGH AUJLA,MALE,46.0,GENERAL,INC,444052,980,445032,1507875,0,
5925,Uttar Pradesh,Amroha,KUNWAR DANISH ALI,MALE,43.0,GENERAL,BSP,600744,338,601082,1646435,0,
53,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,FEMALE,52.0,GENERAL,YSRCP,583210,3016,586226,1521363,0,657895.0
1456,Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),MALE,54.0,GENERAL,BJP,631581,1516,633097,1655870,0,
4434,Punjab,Anandpur Sahib,Manish Tewari,MALE,53.0,GENERAL,INC,426904,1141,428045,1698876,0,
258,Andhra Pradesh,Anantapur,TALARI RANGAIAH,MALE,48.0,GENERAL,YSRCP,690901,4307,695208,1664160,0,305513.0
1899,Jammu & Kashmir,Anantnag,HASNAIN MASOODI,MALE,65.0,GENERAL,JKN,40032,148,40180,1397779,0,
8331,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,MALE,52.0,GENERAL,INC,95249,59,95308,318471,0,
6107,Uttar Pradesh,Aonla,DHARMENDRA KASHYAP,MALE,50.0,GENERAL,BJP,536377,1298,537675,1785605,0,
5063,Tamil Nadu,Arakkonam,S. JAGATHRAKSHAKAN,MALE,71.0,GENERAL,DMK,666688,5502,672190,1500016,0,
